Date;JourDeLaSemaine;ZoneAnalyse;Genre;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-12;Vendredi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;7575
2017-05-12;Vendredi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;5392
2017-05-12;Vendredi;Zone FIMU;NR;Resident;Visiteur;Periode normale;7455
2017-05-12;Vendredi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;7316
2017-05-12;Vendredi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;8224
2017-05-14;Dimanche;Zone FIMU;F;Resident;Excursionniste;Periode normale;7719
2017-05-14;Dimanche;Zone FIMU;F;Resident;Visiteur;Periode normale;9427
2017-05-14;Dimanche;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;5100
2017-05-14;Dimanche;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;8674
2017-05-14;Dimanche;Zone FIMU;H;Resident;Excursionniste;Periode normale;8333
2017-05-14;Dimanche;Zone FIMU;H;Resident;Visiteur;Periode normale;7155
2017-05-14;Dimanche;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;7892
2017-05-14;Dimanche;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;6961
2017-05-14;Dimanche;Zone FIMU;NR;Resident;Excursionniste;Periode normale;7041
2017-05-14;Dimanche;Zone FIMU;NR;Resident;Visiteur;Periode normale;7932
2017-05-14;Dimanche;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;9963
2017-05-15;Lundi;Zone FIMU;F;Resident;Excursionniste;Periode normale;6929
2017-05-15;Lundi;Zone FIMU;F;Resident;Visiteur;Periode normale;5350
2017-05-15;Lundi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;2485
2017-05-15;Lundi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;5875
2017-05-15;Lundi;Zone FIMU;H;Resident;Excursionniste;Periode normale;8761
2017-05-15;Lundi;Zone FIMU;H;Resident;Visiteur;Periode normale;3969
2017-05-15;Lundi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;3790
2017-05-15;Lundi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;3808
2017-05-15;Lundi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;2383
2017-05-15;Lundi;Zone FIMU;NR;Resident;Visiteur;Periode normale;1613
2017-05-15;Lundi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;9456
2017-05-15;Lundi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;9045
2017-05-16;Mardi;Zone FIMU;F;Resident;Excursionniste;Periode normale;6459
2017-05-16;Mardi;Zone FIMU;F;Resident;Visiteur;Periode normale;5249
2017-05-16;Mardi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;5624
2017-05-16;Mardi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;4846
2017-05-16;Mardi;Zone FIMU;H;Resident;Excursionniste;Periode normale;6652
2017-05-16;Mardi;Zone FIMU;H;Resident;Visiteur;Periode normale;7072
2017-05-16;Mardi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;5633
2017-05-16;Mardi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;2021
2017-05-16;Mardi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;7973
2017-05-16;Mardi;Zone FIMU;NR;Resident;Visiteur;Periode normale;132
2017-05-16;Mardi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;7747
2017-05-16;Mardi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;3179
2017-05-17;Mercredi;Zone FIMU;F;Resident;Excursionniste;Periode normale;6846
2017-05-17;Mercredi;Zone FIMU;F;Resident;Visiteur;Periode normale;2921
2017-05-17;Mercredi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;7766
2017-05-17;Mercredi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;8669
2017-05-17;Mercredi;Zone FIMU;H;Resident;Excursionniste;Periode normale;7750
2017-05-17;Mercredi;Zone FIMU;H;Resident;Visiteur;Periode normale;4290
2017-05-17;Mercredi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;8097
2017-05-17;Mercredi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;4904
2017-05-17;Mercredi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;5002
2017-05-17;Mercredi;Zone FIMU;NR;Resident;Visiteur;Periode normale;1434
2017-05-17;Mercredi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;8749
2017-05-17;Mercredi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;8519
2017-05-18;Jeudi;Zone FIMU;F;Resident;Excursionniste;Periode normale;5257
2017-05-18;Jeudi;Zone FIMU;F;Resident;Visiteur;Periode normale;2706
2017-05-18;Jeudi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;2902
2017-05-18;Jeudi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;8302
2017-05-18;Jeudi;Zone FIMU;H;Resident;Excursionniste;Periode normale;6592
2017-05-18;Jeudi;Zone FIMU;H;Resident;Visiteur;Periode normale;6864
2017-05-18;Jeudi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;5164
2017-05-18;Jeudi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;6180
2017-05-18;Jeudi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;930
2017-05-18;Jeudi;Zone FIMU;NR;Resident;Visiteur;Periode normale;6143
2017-05-18;Jeudi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;2179
2017-05-18;Jeudi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;8799
2017-05-19;Vendredi;Zone FIMU;F;Resident;Excursionniste;Periode normale;6546
2017-05-19;Vendredi;Zone FIMU;F;Resident;Visiteur;Periode normale;3109
2017-05-19;Vendredi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;2527
2017-05-19;Vendredi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;5181
2017-05-19;Vendredi;Zone FIMU;H;Resident;Excursionniste;Periode normale;3957
2017-05-19;Vendredi;Zone FIMU;H;Resident;Visiteur;Periode normale;5622
2017-05-19;Vendredi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;9042
2017-05-19;Vendredi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;6529
2017-05-19;Vendredi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;9384
2017-05-19;Vendredi;Zone FIMU;NR;Resident;Visiteur;Periode normale;7022
2017-05-19;Vendredi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;6588
2017-05-19;Vendredi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;2524
2017-05-20;Samedi;Zone FIMU;F;Resident;Excursionniste;Periode normale;8233
2017-05-20;Samedi;Zone FIMU;F;Resident;Visiteur;Periode normale;7648
2017-05-20;Samedi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;9532
2017-05-20;Samedi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;8062
2017-05-20;Samedi;Zone FIMU;H;Resident;Excursionniste;Periode normale;3647
2017-05-20;Samedi;Zone FIMU;H;Resident;Visiteur;Periode normale;8256
2017-05-20;Samedi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;7930
2017-05-20;Samedi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;830
2017-05-20;Samedi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;8608
2017-05-20;Samedi;Zone FIMU;NR;Resident;Visiteur;Periode normale;1283
2017-05-20;Samedi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;513
2017-05-20;Samedi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;945
2017-05-21;Dimanche;Zone FIMU;F;Resident;Excursionniste;Periode normale;9908
2017-05-21;Dimanche;Zone FIMU;F;Resident;Visiteur;Periode normale;6064
2017-05-21;Dimanche;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;3027
2017-05-21;Dimanche;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;5455
2017-05-21;Dimanche;Zone FIMU;H;Resident;Excursionniste;Periode normale;6561
2017-05-21;Dimanche;Zone FIMU;H;Resident;Visiteur;Periode normale;6363
2017-05-21;Dimanche;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;1996
2017-05-21;Dimanche;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;616
2017-05-21;Dimanche;Zone FIMU;NR;Resident;Excursionniste;Periode normale;#
2017-05-21;Dimanche;Zone FIMU;NR;Resident;Visiteur;Periode normale;8276
2017-05-21;Dimanche;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;4858
2017-05-21;Dimanche;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;204
2017-05-22;Lundi;Zone FIMU;F;Resident;Excursionniste;Periode normale;5206
2017-05-22;Lundi;Zone FIMU;F;Resident;Visiteur;Periode normale;6082
2017-05-22;Lundi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;3144
2017-05-22;Lundi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;8894
2017-05-22;Lundi;Zone FIMU;H;Resident;Excursionniste;Periode normale;7859
2017-05-22;Lundi;Zone FIMU;H;Resident;Visiteur;Periode normale;6731
2017-05-22;Lundi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;7686
2017-05-22;Lundi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;8232
2017-05-22;Lundi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;8902
2017-05-22;Lundi;Zone FIMU;NR;Resident;Visiteur;Periode normale;2105
2017-05-22;Lundi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;6954
2017-05-22;Lundi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;572
2017-05-23;Mardi;Zone FIMU;F;Resident;Excursionniste;Periode normale;5740
2017-05-23;Mardi;Zone FIMU;F;Resident;Visiteur;Periode normale;1561
2017-05-23;Mardi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;1237
2017-05-23;Mardi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2000
2017-05-23;Mardi;Zone FIMU;H;Resident;Excursionniste;Periode normale;1176
2017-05-23;Mardi;Zone FIMU;H;Resident;Visiteur;Periode normale;5231
2017-05-23;Mardi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;6581
2017-05-23;Mardi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;1976
2017-05-23;Mardi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;6905
2017-05-23;Mardi;Zone FIMU;NR;Resident;Visiteur;Periode normale;2738
2017-05-23;Mardi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;1912
2017-05-23;Mardi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;2930
2017-05-24;Mercredi;Zone FIMU;F;Resident;Excursionniste;Periode normale;9622
2017-05-24;Mercredi;Zone FIMU;F;Resident;Visiteur;Periode normale;1824
2017-05-24;Mercredi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;457
2017-05-24;Mercredi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;6228
2017-05-24;Mercredi;Zone FIMU;H;Resident;Excursionniste;Periode normale;7383
2017-05-24;Mercredi;Zone FIMU;H;Resident;Visiteur;Periode normale;9487
2017-05-24;Mercredi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;1280
2017-05-24;Mercredi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;5176
2017-05-24;Mercredi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;91
2017-05-24;Mercredi;Zone FIMU;NR;Resident;Visiteur;Periode normale;770
2017-05-24;Mercredi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;4256
2017-05-24;Mercredi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;5218
2017-05-25;Jeudi;Zone FIMU;F;Resident;Excursionniste;Periode normale;7276
2017-05-25;Jeudi;Zone FIMU;F;Resident;Visiteur;Periode normale;7959
2017-05-25;Jeudi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;7170
2017-05-25;Jeudi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;5650
2017-05-25;Jeudi;Zone FIMU;H;Resident;Excursionniste;Periode normale;3952
2017-05-25;Jeudi;Zone FIMU;H;Resident;Visiteur;Periode normale;8529
2017-05-25;Jeudi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;6446
2017-05-25;Jeudi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;5329
2017-05-25;Jeudi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;5108
2017-05-25;Jeudi;Zone FIMU;NR;Resident;Visiteur;Periode normale;6402
2017-05-25;Jeudi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;3793
2017-05-25;Jeudi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;4829
2017-05-26;Vendredi;Zone FIMU;F;Resident;Excursionniste;Periode normale;5565
2017-05-26;Vendredi;Zone FIMU;F;Resident;Visiteur;Periode normale;2592
2017-05-26;Vendredi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;382
2017-05-26;Vendredi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2090
2017-05-26;Vendredi;Zone FIMU;H;Resident;Excursionniste;Periode normale;6065
2017-05-26;Vendredi;Zone FIMU;H;Resident;Visiteur;Periode normale;367
2017-05-26;Vendredi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;1556
2017-05-26;Vendredi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;2874
2017-05-26;Vendredi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;#
2017-05-26;Vendredi;Zone FIMU;NR;Resident;Visiteur;Periode normale;7570
2017-05-26;Vendredi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;1614
2017-05-26;Vendredi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;5956
2017-05-27;Samedi;Zone FIMU;F;Resident;Excursionniste;Periode normale;6029
2017-05-27;Samedi;Zone FIMU;F;Resident;Visiteur;Periode normale;8521
2017-05-27;Samedi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;6594
2017-05-27;Samedi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;5639
2017-05-27;Samedi;Zone FIMU;H;Resident;Excursionniste;Periode normale;3833
2017-05-27;Samedi;Zone FIMU;H;Resident;Visiteur;Periode normale;9522
2017-05-27;Samedi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;3949
2017-05-27;Samedi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;408
2017-05-27;Samedi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;4878
2017-05-27;Samedi;Zone FIMU;NR;Resident;Visiteur;Periode normale;5434
2017-05-27;Samedi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;1097
2017-05-27;Samedi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;7217
2017-05-28;Dimanche;Zone FIMU;F;Resident;Excursionniste;Periode normale;6686
2017-05-28;Dimanche;Zone FIMU;F;Resident;Visiteur;Periode normale;6857
2017-05-28;Dimanche;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;7588
2017-05-28;Dimanche;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2280
2017-05-28;Dimanche;Zone FIMU;H;Resident;Excursionniste;Periode normale;7173
2017-05-28;Dimanche;Zone FIMU;H;Resident;Visiteur;Periode normale;1105
2017-05-28;Dimanche;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;621
2017-05-28;Dimanche;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;2804
2017-05-28;Dimanche;Zone FIMU;NR;Resident;Excursionniste;Periode normale;4495
2017-05-28;Dimanche;Zone FIMU;NR;Resident;Visiteur;Periode normale;9837
2017-05-28;Dimanche;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;2240
2017-05-28;Dimanche;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;8203
2017-05-29;Lundi;Zone FIMU;F;Resident;Excursionniste;Periode normale;2290
2017-05-29;Lundi;Zone FIMU;F;Resident;Visiteur;Periode normale;9153
2017-05-29;Lundi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;8603
2017-05-29;Lundi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;1014
2017-05-29;Lundi;Zone FIMU;H;Resident;Excursionniste;Periode normale;4543
2017-05-29;Lundi;Zone FIMU;H;Resident;Visiteur;Periode normale;2031
2017-05-29;Lundi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;8860
2017-05-29;Lundi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;224
2017-05-29;Lundi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;9500
2017-05-29;Lundi;Zone FIMU;NR;Resident;Visiteur;Periode normale;6504
2017-05-29;Lundi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;7605
2017-05-29;Lundi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;1115
2017-05-30;Mardi;Zone FIMU;F;Resident;Excursionniste;Periode normale;9304
2017-05-30;Mardi;Zone FIMU;F;Resident;Visiteur;Periode normale;4439
2017-05-30;Mardi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;5248
2017-05-30;Mardi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;8201
2017-05-30;Mardi;Zone FIMU;H;Resident;Excursionniste;Periode normale;3555
2017-05-30;Mardi;Zone FIMU;H;Resident;Visiteur;Periode normale;9308
2017-05-30;Mardi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;3803
2017-05-30;Mardi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;6880
2017-05-30;Mardi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;1590
2017-05-30;Mardi;Zone FIMU;NR;Resident;Visiteur;Periode normale;9492
2017-05-30;Mardi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;1955
2017-05-30;Mardi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;9548
2017-05-31;Mercredi;Zone FIMU;F;Resident;Excursionniste;Periode normale;2424
2017-05-31;Mercredi;Zone FIMU;F;Resident;Visiteur;Periode normale;5294
2017-05-31;Mercredi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;515
2017-05-31;Mercredi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;1881
2017-05-31;Mercredi;Zone FIMU;H;Resident;Excursionniste;Periode normale;8234
2017-05-31;Mercredi;Zone FIMU;H;Resident;Visiteur;Periode normale;7830
2017-05-31;Mercredi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;7655
2017-05-31;Mercredi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;6282
2017-05-31;Mercredi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;1504
2017-05-31;Mercredi;Zone FIMU;NR;Resident;Visiteur;Periode normale;5092
2017-05-31;Mercredi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;1827
2017-05-31;Mercredi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;9120
2017-06-01;Jeudi;Zone FIMU;F;Resident;Excursionniste;Periode evenement;1771
2017-06-01;Jeudi;Zone FIMU;F;Resident;Visiteur;Periode evenement;3461
2017-06-01;Jeudi;Zone FIMU;F;Touriste Français;Excursionniste;Periode evenement;2881
2017-06-01;Jeudi;Zone FIMU;F;Touriste Français;Visiteur;Periode evenement;3850
2017-06-01;Jeudi;Zone FIMU;H;Resident;Excursionniste;Periode evenement;5061
2017-06-01;Jeudi;Zone FIMU;H;Resident;Visiteur;Periode evenement;3532
2017-06-01;Jeudi;Zone FIMU;H;Touriste Français;Excursionniste;Periode evenement;1488
2017-06-01;Jeudi;Zone FIMU;H;Touriste Français;Visiteur;Periode evenement;4612
2017-06-01;Jeudi;Zone FIMU;NR;Resident;Excursionniste;Periode evenement;#
2017-06-01;Jeudi;Zone FIMU;NR;Resident;Visiteur;Periode evenement;4721
2017-06-01;Jeudi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode evenement;1350
2017-06-01;Jeudi;Zone FIMU;NR;Touriste Français;Visiteur;Periode evenement;9849
2017-06-02;Vendredi;Zone FIMU;F;Resident;Excursionniste;Periode evenement;4148
2017-06-02;Vendredi;Zone FIMU;F;Resident;Visiteur;Periode evenement;7984
2017-06-02;Vendredi;Zone FIMU;F;Touriste Français;Excursionniste;Periode evenement;2241
2017-06-02;Vendredi;Zone FIMU;F;Touriste Français;Visiteur;Periode evenement;6217
2017-06-02;Vendredi;Zone FIMU;H;Resident;Excursionniste;Periode evenement;8694
2017-06-02;Vendredi;Zone FIMU;H;Resident;Visiteur;Periode evenement;6098
2017-06-02;Vendredi;Zone FIMU;H;Touriste Français;Excursionniste;Periode evenement;7144
2017-06-02;Vendredi;Zone FIMU;H;Touriste Français;Visiteur;Periode evenement;8337
2017-06-02;Vendredi;Zone FIMU;NR;Resident;Excursionniste;Periode evenement;5393
2017-06-02;Vendredi;Zone FIMU;NR;Resident;Visiteur;Periode evenement;4921
2017-06-02;Vendredi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode evenement;6700
2017-06-02;Vendredi;Zone FIMU;NR;Touriste Français;Visiteur;Periode evenement;2531
2017-06-03;Samedi;Zone FIMU;F;Resident;Excursionniste;Periode evenement;4729
2017-06-03;Samedi;Zone FIMU;F;Resident;Visiteur;Periode evenement;5008
2017-06-03;Samedi;Zone FIMU;F;Touriste Français;Excursionniste;Periode evenement;2339
2017-06-03;Samedi;Zone FIMU;F;Touriste Français;Visiteur;Periode evenement;5145
2017-06-03;Samedi;Zone FIMU;H;Resident;Excursionniste;Periode evenement;546
2017-06-03;Samedi;Zone FIMU;H;Resident;Visiteur;Periode evenement;3854
2017-06-03;Samedi;Zone FIMU;H;Touriste Français;Excursionniste;Periode evenement;2400
2017-06-03;Samedi;Zone FIMU;H;Touriste Français;Visiteur;Periode evenement;1213
2017-06-03;Samedi;Zone FIMU;NR;Resident;Excursionniste;Periode evenement;5934
2017-06-03;Samedi;Zone FIMU;NR;Resident;Visiteur;Periode evenement;8256
2017-06-03;Samedi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode evenement;1490
2017-06-03;Samedi;Zone FIMU;NR;Touriste Français;Visiteur;Periode evenement;2331
2017-06-04;Dimanche;Zone FIMU;F;Resident;Excursionniste;Periode evenement;5351
2017-06-04;Dimanche;Zone FIMU;F;Resident;Visiteur;Periode evenement;6952
2017-06-04;Dimanche;Zone FIMU;F;Touriste Français;Excursionniste;Periode evenement;3656
2017-06-04;Dimanche;Zone FIMU;F;Touriste Français;Visiteur;Periode evenement;8472
2017-06-04;Dimanche;Zone FIMU;H;Resident;Excursionniste;Periode evenement;8785
2017-06-04;Dimanche;Zone FIMU;H;Resident;Visiteur;Periode evenement;8088
2017-06-04;Dimanche;Zone FIMU;H;Touriste Français;Excursionniste;Periode evenement;1455
2017-06-04;Dimanche;Zone FIMU;H;Touriste Français;Visiteur;Periode evenement;2350
2017-06-04;Dimanche;Zone FIMU;NR;Resident;Excursionniste;Periode evenement;3400
2017-06-04;Dimanche;Zone FIMU;NR;Resident;Visiteur;Periode evenement;8744
2017-06-04;Dimanche;Zone FIMU;NR;Touriste Français;Excursionniste;Periode evenement;6802
2017-06-04;Dimanche;Zone FIMU;NR;Touriste Français;Visiteur;Periode evenement;445
2017-06-05;Lundi;Zone FIMU;F;Resident;Excursionniste;Periode evenement;7768
2017-06-05;Lundi;Zone FIMU;F;Resident;Visiteur;Periode evenement;1711
2017-06-05;Lundi;Zone FIMU;F;Touriste Français;Excursionniste;Periode evenement;6073
2017-06-05;Lundi;Zone FIMU;F;Touriste Français;Visiteur;Periode evenement;2897
2017-06-05;Lundi;Zone FIMU;H;Resident;Excursionniste;Periode evenement;7231
2017-06-05;Lundi;Zone FIMU;H;Resident;Visiteur;Periode evenement;1872
2017-06-05;Lundi;Zone FIMU;H;Touriste Français;Excursionniste;Periode evenement;8750
2017-06-05;Lundi;Zone FIMU;H;Touriste Français;Visiteur;Periode evenement;3582
2017-06-05;Lundi;Zone FIMU;NR;Resident;Excursionniste;Periode evenement;7641
2017-06-05;Lundi;Zone FIMU;NR;Resident;Visiteur;Periode evenement;2519
2017-06-05;Lundi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode evenement;752
2017-06-05;Lundi;Zone FIMU;NR;Touriste Français;Visiteur;Periode evenement;8473
2017-06-06;Mardi;Zone FIMU;F;Resident;Excursionniste;Periode normale;5200
2017-06-06;Mardi;Zone FIMU;F;Resident;Visiteur;Periode normale;131
2017-06-06;Mardi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;9274
