Date;JourDeLaSemaine;ZoneAnalyse;Nationalite;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-20;Samedi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;8305
2017-05-20;Samedi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;1730
2017-05-20;Samedi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;3392
2017-05-20;Samedi;Zone FIMU;Français;Resident;Visiteur;Periode normale;9842
2017-05-20;Samedi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;1178
2017-05-20;Samedi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;5425
2017-05-21;Dimanche;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;4609
2017-05-21;Dimanche;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;5909
2017-05-21;Dimanche;Zone FIMU;Français;Resident;Excursionniste;Periode normale;8599
2017-05-21;Dimanche;Zone FIMU;Français;Resident;Visiteur;Periode normale;9531
2017-05-21;Dimanche;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;8694
2017-05-21;Dimanche;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;8152
2017-05-22;Lundi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;5683
2017-05-22;Lundi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;7206
2017-05-22;Lundi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;1276
2017-05-22;Lundi;Zone FIMU;Français;Resident;Visiteur;Periode normale;9058
2017-05-22;Lundi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;2453
2017-05-22;Lundi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;3709
2017-05-23;Mardi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;3459
2017-05-23;Mardi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;8029
2017-05-23;Mardi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;4411
2017-05-23;Mardi;Zone FIMU;Français;Resident;Visiteur;Periode normale;5673
2017-05-23;Mardi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;5658
2017-05-23;Mardi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;6860
2017-05-24;Mercredi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;2416
2017-05-24;Mercredi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;2014
2017-05-24;Mercredi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;5657
2017-05-24;Mercredi;Zone FIMU;Français;Resident;Visiteur;Periode normale;3488
2017-05-24;Mercredi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;9677
2017-05-24;Mercredi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;4393
2017-05-25;Jeudi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;1344
2017-05-25;Jeudi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;6089
2017-05-25;Jeudi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;3771
2017-05-25;Jeudi;Zone FIMU;Français;Resident;Visiteur;Periode normale;5311
2017-05-25;Jeudi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;5788
2017-05-25;Jeudi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;2063
2017-05-26;Vendredi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;9908
2017-05-26;Vendredi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;5529
2017-05-26;Vendredi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;2180
2017-05-26;Vendredi;Zone FIMU;Français;Resident;Visiteur;Periode normale;9434
2017-05-26;Vendredi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;8896
2017-05-26;Vendredi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;6267
2017-05-27;Samedi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;3375
2017-05-27;Samedi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;7145
2017-05-27;Samedi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;2159
2017-05-27;Samedi;Zone FIMU;Français;Resident;Visiteur;Periode normale;5519
2017-05-27;Samedi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;4184
2017-05-27;Samedi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;6655
2017-05-28;Dimanche;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;2201
2017-05-28;Dimanche;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;5795
2017-05-28;Dimanche;Zone FIMU;Français;Resident;Excursionniste;Periode normale;9340
2017-05-28;Dimanche;Zone FIMU;Français;Resident;Visiteur;Periode normale;2605
2017-05-28;Dimanche;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;5027
2017-05-28;Dimanche;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;8106
2017-05-29;Lundi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;4216
2017-05-29;Lundi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;4980
2017-05-29;Lundi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;2224
2017-05-29;Lundi;Zone FIMU;Français;Resident;Visiteur;Periode normale;263
2017-05-29;Lundi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;2671
2017-05-29;Lundi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;6268
2017-05-30;Mardi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;4985
2017-05-30;Mardi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;1572
2017-05-30;Mardi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;4964
2017-05-30;Mardi;Zone FIMU;Français;Resident;Visiteur;Periode normale;4235
2017-05-30;Mardi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;9629
2017-05-30;Mardi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;4583
2017-05-31;Mercredi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;4860
2017-05-31;Mercredi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;3787
2017-05-31;Mercredi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;6022
2017-05-31;Mercredi;Zone FIMU;Français;Resident;Visiteur;Periode normale;3091
2017-05-31;Mercredi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;4226
2017-05-31;Mercredi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;3480
2017-06-01;Jeudi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode evenement;6951
2017-06-01;Jeudi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode evenement;7869
2017-06-01;Jeudi;Zone FIMU;Français;Resident;Excursionniste;Periode evenement;9308
2017-06-01;Jeudi;Zone FIMU;Français;Resident;Visiteur;Periode evenement;7773
2017-06-01;Jeudi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode evenement;1458
2017-06-01;Jeudi;Zone FIMU;Français;Touriste Français;Visiteur;Periode evenement;4120
2017-06-02;Vendredi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode evenement;918
2017-06-02;Vendredi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode evenement;612
2017-06-02;Vendredi;Zone FIMU;Français;Resident;Excursionniste;Periode evenement;3011
2017-06-02;Vendredi;Zone FIMU;Français;Resident;Visiteur;Periode evenement;5324
2017-06-02;Vendredi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode evenement;4716
2017-06-02;Vendredi;Zone FIMU;Français;Touriste Français;Visiteur;Periode evenement;8610
2017-06-03;Samedi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode evenement;3940
2017-06-03;Samedi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode evenement;2847
2017-06-03;Samedi;Zone FIMU;Français;Resident;Excursionniste;Periode evenement;8412
2017-06-03;Samedi;Zone FIMU;Français;Resident;Visiteur;Periode evenement;7261
2017-06-03;Samedi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode evenement;5605
2017-06-03;Samedi;Zone FIMU;Français;Touriste Français;Visiteur;Periode evenement;5879
2017-06-04;Dimanche;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode evenement;3693
2017-06-04;Dimanche;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode evenement;9824
2017-06-04;Dimanche;Zone FIMU;Français;Resident;Excursionniste;Periode evenement;9695
2017-06-04;Dimanche;Zone FIMU;Français;Resident;Visiteur;Periode evenement;7747
2017-06-04;Dimanche;Zone FIMU;Français;Touriste Français;Excursionniste;Periode evenement;1617
2017-06-04;Dimanche;Zone FIMU;Français;Touriste Français;Visiteur;Periode evenement;3549
2017-06-05;Lundi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode evenement;6133
2017-06-05;Lundi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode evenement;254
2017-06-05;Lundi;Zone FIMU;Français;Resident;Excursionniste;Periode evenement;6228
2017-06-05;Lundi;Zone FIMU;Français;Resident;Visiteur;Periode evenement;782
2017-06-05;Lundi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode evenement;1505
2017-06-05;Lundi;Zone FIMU;Français;Touriste Français;Visiteur;Periode evenement;9915
2017-06-06;Mardi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;2124
2017-06-06;Mardi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;8797
2017-06-06;Mardi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;7915
2017-06-06;Mardi;Zone FIMU;Français;Resident;Visiteur;Periode normale;406
2017-06-06;Mardi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;2457
2017-06-06;Mardi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;6736
2017-06-07;Mercredi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;3903
2017-06-07;Mercredi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;9743
2017-06-07;Mercredi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;5447
2017-06-07;Mercredi;Zone FIMU;Français;Resident;Visiteur;Periode normale;2335
2017-06-07;Mercredi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;7376
2017-06-07;Mercredi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;1373
2017-06-08;Jeudi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;6632
2017-06-08;Jeudi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;9648
2017-06-08;Jeudi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;3674
2017-06-08;Jeudi;Zone FIMU;Français;Resident;Visiteur;Periode normale;9519
2017-06-08;Jeudi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;8946
2017-06-08;Jeudi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;3502
2017-06-09;Vendredi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;3299
2017-06-09;Vendredi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;6012
2017-06-09;Vendredi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;8509
2017-06-09;Vendredi;Zone FIMU;Français;Resident;Visiteur;Periode normale;6622
2017-06-09;Vendredi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;4447
2017-06-09;Vendredi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;6738
2017-06-10;Samedi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;9871
2017-06-10;Samedi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;5196
2017-06-10;Samedi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;9991
2017-06-10;Samedi;Zone FIMU;Français;Resident;Visiteur;Periode normale;3912
2017-06-10;Samedi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;6248
2017-06-10;Samedi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;7274
2017-06-11;Dimanche;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;2612
2017-06-11;Dimanche;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;5372
2017-06-11;Dimanche;Zone FIMU;Français;Resident;Excursionniste;Periode normale;6674
2017-06-11;Dimanche;Zone FIMU;Français;Resident;Visiteur;Periode normale;5872
2017-06-11;Dimanche;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;6983
2017-06-11;Dimanche;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;8254
2017-06-12;Lundi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;2864
2017-06-12;Lundi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;8705
2017-06-12;Lundi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;2485
2017-06-12;Lundi;Zone FIMU;Français;Resident;Visiteur;Periode normale;8727
2017-06-12;Lundi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;1936
2017-06-12;Lundi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;1888
2017-06-13;Mardi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;9868
2017-06-13;Mardi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;4290
2017-06-13;Mardi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;2216
2017-06-13;Mardi;Zone FIMU;Français;Resident;Visiteur;Periode normale;1813
2017-06-13;Mardi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;7754
2017-06-13;Mardi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;609
2017-06-14;Mercredi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;357
2017-06-14;Mercredi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;9040
2017-06-14;Mercredi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;2286
2017-06-14;Mercredi;Zone FIMU;Français;Resident;Visiteur;Periode normale;2327
2017-06-14;Mercredi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;6292
2017-06-14;Mercredi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;10000
2017-06-15;Jeudi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;5304
2017-06-15;Jeudi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;6052
2017-06-15;Jeudi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;8834
2017-06-15;Jeudi;Zone FIMU;Français;Resident;Visiteur;Periode normale;8498
2017-06-15;Jeudi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;4836
2017-06-15;Jeudi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;7651
2017-06-16;Vendredi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;3856
2017-06-16;Vendredi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;8142
2017-06-16;Vendredi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;5175
2017-06-16;Vendredi;Zone FIMU;Français;Resident;Visiteur;Periode normale;7777
2017-06-16;Vendredi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;1492
2017-06-16;Vendredi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;4682
2017-06-17;Samedi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;6386
2017-06-17;Samedi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;279
2017-06-17;Samedi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;2773
2017-06-17;Samedi;Zone FIMU;Français;Resident;Visiteur;Periode normale;8665
2017-06-17;Samedi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;4906
2017-06-17;Samedi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;1735
2017-06-18;Dimanche;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;6133
2017-06-18;Dimanche;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;3936
2017-06-18;Dimanche;Zone FIMU;Français;Resident;Excursionniste;Periode normale;5086
2017-06-18;Dimanche;Zone FIMU;Français;Resident;Visiteur;Periode normale;3542
2017-06-18;Dimanche;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;8104
2017-06-18;Dimanche;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;9699
2017-06-19;Lundi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;6757
2017-06-19;Lundi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;6180
2017-06-19;Lundi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;1256
2017-06-19;Lundi;Zone FIMU;Français;Resident;Visiteur;Periode normale;9264
2017-06-19;Lundi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;20
2017-06-19;Lundi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;5053
2017-06-20;Mardi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;5327
2017-06-20;Mardi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;6932
2017-06-20;Mardi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;3951
2017-06-20;Mardi;Zone FIMU;Français;Resident;Visiteur;Periode normale;2070
2017-06-20;Mardi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;4926
2017-06-20;Mardi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;8759
2017-06-21;Mercredi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;1287
2017-06-21;Mercredi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;8802
2017-06-21;Mercredi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;8549
2017-06-21;Mercredi;Zone FIMU;Français;Resident;Visiteur;Periode normale;8122
2017-06-21;Mercredi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;2986
2017-06-21;Mercredi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;8003
2017-06-22;Jeudi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;5939
2017-06-22;Jeudi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;5871
2017-06-22;Jeudi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;7251
2017-06-22;Jeudi;Zone FIMU;Français;Resident;Visiteur;Periode normale;3067
2017-06-22;Jeudi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;112
2017-06-22;Jeudi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;3923
2017-06-23;Vendredi;Zone FIMU;Etranger;Touriste Etranger;Excursionniste;Periode normale;5757
2017-06-23;Vendredi;Zone FIMU;Etranger;Touriste Etranger;Visiteur;Periode normale;7176
2017-06-23;Vendredi;Zone FIMU;Français;Resident;Excursionniste;Periode normale;4726
2017-06-23;Vendredi;Zone FIMU;Français;Resident;Visiteur;Periode normale;338
2017-06-23;Vendredi;Zone FIMU;Français;Touriste Français;Excursionniste;Periode normale;8240
2017-06-23;Vendredi;Zone FIMU;Français;Touriste Français;Visiteur;Periode normale;8648
