Date;JourDeLaSemaine;Heure;ZoneAnalyse;Presence30Min;CategorieVisiteurs;TypeDeJour;Volume
2017-05-10;Mercredi;09:30:00;Zone FIMU;Present;Resident;Periode normale;5879
2017-05-10;Mercredi;09:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;1451
2017-05-10;Mercredi;09:30:00;Zone FIMU;Present;Touriste Français;Periode normale;8562
2017-05-10;Mercredi;10:00:00;Zone FIMU;Present;Resident;Periode normale;6787
2017-05-10;Mercredi;10:00:00;Zone FIMU;Present;Touriste Français;Periode normale;4852
2017-05-10;Mercredi;10:30:00;Zone FIMU;Present;Resident;Periode normale;116
2017-05-10;Mercredi;10:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;3735
2017-05-10;Mercredi;10:30:00;Zone FIMU;Present;Touriste Français;Periode normale;5860
2017-05-10;Mercredi;11:00:00;Zone FIMU;Present;Resident;Periode normale;8601
2017-05-10;Mercredi;11:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;6146
2017-05-10;Mercredi;11:00:00;Zone FIMU;Present;Touriste Français;Periode normale;4501
2017-05-10;Mercredi;11:30:00;Zone FIMU;Present;Resident;Periode normale;1309
2017-05-10;Mercredi;11:30:00;Zone FIMU;Present;Touriste Français;Periode normale;183
2017-05-10;Mercredi;12:00:00;Zone FIMU;Present;Resident;Periode normale;7231
2017-05-10;Mercredi;12:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;6491
2017-05-10;Mercredi;12:00:00;Zone FIMU;Present;Touriste Français;Periode normale;8151
2017-05-10;Mercredi;12:30:00;Zone FIMU;Present;Resident;Periode normale;9419
2017-05-10;Mercredi;12:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;5057
2017-05-10;Mercredi;12:30:00;Zone FIMU;Present;Touriste Français;Periode normale;7698
2017-05-10;Mercredi;13:00:00;Zone FIMU;Present;Resident;Periode normale;890
2017-05-10;Mercredi;13:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2656
2017-05-10;Mercredi;13:30:00;Zone FIMU;Present;Resident;Periode normale;5176
2017-05-10;Mercredi;13:30:00;Zone FIMU;Present;Touriste Français;Periode normale;383
2017-05-10;Mercredi;14:00:00;Zone FIMU;Present;Resident;Periode normale;4956
2017-05-10;Mercredi;14:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2422
2017-05-10;Mercredi;14:30:00;Zone FIMU;Present;Resident;Periode normale;8069
2017-05-10;Mercredi;14:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;1354
2017-05-10;Mercredi;14:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2419
2017-05-10;Mercredi;15:00:00;Zone FIMU;Present;Resident;Periode normale;8518
2017-05-10;Mercredi;15:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;1340
2017-05-10;Mercredi;15:00:00;Zone FIMU;Present;Touriste Français;Periode normale;4991
2017-05-10;Mercredi;15:30:00;Zone FIMU;Present;Resident;Periode normale;5889
2017-05-10;Mercredi;15:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;1030
2017-05-10;Mercredi;15:30:00;Zone FIMU;Present;Touriste Français;Periode normale;6252
2017-05-10;Mercredi;16:00:00;Zone FIMU;Present;Resident;Periode normale;8094
2017-05-10;Mercredi;16:00:00;Zone FIMU;Present;Touriste Français;Periode normale;9055
2017-05-10;Mercredi;16:30:00;Zone FIMU;Present;Resident;Periode normale;3111
2017-05-10;Mercredi;16:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;1127
2017-05-10;Mercredi;16:30:00;Zone FIMU;Present;Touriste Français;Periode normale;7464
2017-05-10;Mercredi;17:00:00;Zone FIMU;Present;Resident;Periode normale;461
2017-05-10;Mercredi;17:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;9297
2017-05-10;Mercredi;17:00:00;Zone FIMU;Present;Touriste Français;Periode normale;4718
2017-05-10;Mercredi;17:30:00;Zone FIMU;Present;Resident;Periode normale;5044
2017-05-10;Mercredi;17:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;6362
2017-05-10;Mercredi;17:30:00;Zone FIMU;Present;Touriste Français;Periode normale;343
2017-05-10;Mercredi;18:00:00;Zone FIMU;Present;Resident;Periode normale;2813
2017-05-10;Mercredi;18:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;9032
2017-05-10;Mercredi;18:00:00;Zone FIMU;Present;Touriste Français;Periode normale;8476
2017-05-10;Mercredi;18:30:00;Zone FIMU;Present;Resident;Periode normale;6299
2017-05-10;Mercredi;18:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;8049
2017-05-10;Mercredi;18:30:00;Zone FIMU;Present;Touriste Français;Periode normale;8504
2017-05-10;Mercredi;19:00:00;Zone FIMU;Present;Resident;Periode normale;553
2017-05-10;Mercredi;19:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;7048
2017-05-10;Mercredi;19:00:00;Zone FIMU;Present;Touriste Français;Periode normale;5759
2017-05-10;Mercredi;19:30:00;Zone FIMU;Present;Resident;Periode normale;37
2017-05-10;Mercredi;19:30:00;Zone FIMU;Present;Touriste Français;Periode normale;8664
2017-05-10;Mercredi;20:00:00;Zone FIMU;Present;Resident;Periode normale;9418
2017-05-10;Mercredi;20:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;5086
2017-05-10;Mercredi;20:00:00;Zone FIMU;Present;Touriste Français;Periode normale;8904
2017-05-10;Mercredi;20:30:00;Zone FIMU;Present;Resident;Periode normale;7005
2017-05-10;Mercredi;20:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;4973
2017-05-10;Mercredi;20:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2853
2017-05-10;Mercredi;21:00:00;Zone FIMU;Present;Resident;Periode normale;6973
2017-05-10;Mercredi;21:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2358
2017-05-10;Mercredi;21:30:00;Zone FIMU;Present;Resident;Periode normale;396
2017-05-10;Mercredi;21:30:00;Zone FIMU;Present;Touriste Français;Periode normale;7679
2017-05-10;Mercredi;22:00:00;Zone FIMU;Present;Resident;Periode normale;8007
2017-05-10;Mercredi;22:00:00;Zone FIMU;Present;Touriste Français;Periode normale;5462
2017-05-10;Mercredi;22:30:00;Zone FIMU;Present;Resident;Periode normale;1106
2017-05-10;Mercredi;22:30:00;Zone FIMU;Present;Touriste Français;Periode normale;7040
2017-05-10;Mercredi;23:00:00;Zone FIMU;Present;Resident;Periode normale;3671
2017-05-10;Mercredi;23:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;4852
2017-05-10;Mercredi;23:00:00;Zone FIMU;Present;Touriste Français;Periode normale;8117
2017-05-10;Mercredi;23:30:00;Zone FIMU;Present;Resident;Periode normale;5526
2017-05-10;Mercredi;23:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;9242
2017-05-10;Mercredi;23:30:00;Zone FIMU;Present;Touriste Français;Periode normale;9461
2017-05-11;Jeudi;00:00:00;Zone FIMU;Present;Resident;Periode normale;2859
2017-05-11;Jeudi;00:00:00;Zone FIMU;Present;Touriste Français;Periode normale;9075
2017-05-11;Jeudi;00:30:00;Zone FIMU;Present;Resident;Periode normale;4734
2017-05-11;Jeudi;00:30:00;Zone FIMU;Present;Touriste Français;Periode normale;374
2017-05-11;Jeudi;01:00:00;Zone FIMU;Present;Resident;Periode normale;6088
2017-05-11;Jeudi;01:00:00;Zone FIMU;Present;Touriste Français;Periode normale;4846
2017-05-11;Jeudi;02:00:00;Zone FIMU;Present;Touriste Français;Periode normale;3536
2017-05-11;Jeudi;02:30:00;Zone FIMU;Present;Touriste Français;Periode normale;3750
2017-05-11;Jeudi;03:00:00;Zone FIMU;Present;Touriste Français;Periode normale;8976
2017-05-11;Jeudi;03:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1237
2017-05-11;Jeudi;04:00:00;Zone FIMU;Present;Touriste Français;Periode normale;9421
2017-05-11;Jeudi;05:00:00;Zone FIMU;Present;Touriste Français;Periode normale;9925
2017-05-11;Jeudi;06:00:00;Zone FIMU;Present;Resident;Periode normale;9107
2017-05-11;Jeudi;06:00:00;Zone FIMU;Present;Touriste Français;Periode normale;6883
2017-05-11;Jeudi;06:30:00;Zone FIMU;Present;Resident;Periode normale;6731
2017-05-11;Jeudi;06:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1593
2017-05-11;Jeudi;07:00:00;Zone FIMU;Present;Resident;Periode normale;6057
2017-05-11;Jeudi;07:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2325
2017-05-11;Jeudi;07:30:00;Zone FIMU;Present;Resident;Periode normale;3901
2017-05-11;Jeudi;07:30:00;Zone FIMU;Present;Touriste Français;Periode normale;7108
2017-05-11;Jeudi;08:00:00;Zone FIMU;Present;Resident;Periode normale;3355
2017-05-11;Jeudi;08:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1965
2017-05-11;Jeudi;08:30:00;Zone FIMU;Present;Resident;Periode normale;7095
2017-05-11;Jeudi;08:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;967
2017-05-11;Jeudi;08:30:00;Zone FIMU;Present;Touriste Français;Periode normale;5062
2017-05-11;Jeudi;09:00:00;Zone FIMU;Present;Resident;Periode normale;1875
2017-05-11;Jeudi;09:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;8449
2017-05-11;Jeudi;09:00:00;Zone FIMU;Present;Touriste Français;Periode normale;7443
2017-05-11;Jeudi;09:30:00;Zone FIMU;Present;Resident;Periode normale;7751
2017-05-11;Jeudi;09:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1228
2017-05-11;Jeudi;10:00:00;Zone FIMU;Present;Resident;Periode normale;9188
2017-05-11;Jeudi;10:00:00;Zone FIMU;Present;Touriste Français;Periode normale;7985
2017-05-11;Jeudi;10:30:00;Zone FIMU;Present;Resident;Periode normale;7306
2017-05-11;Jeudi;10:30:00;Zone FIMU;Present;Touriste Français;Periode normale;3305
2017-05-11;Jeudi;11:00:00;Zone FIMU;Present;Resident;Periode normale;9328
2017-05-11;Jeudi;11:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2692
2017-05-11;Jeudi;11:30:00;Zone FIMU;Present;Resident;Periode normale;5986
2017-05-11;Jeudi;11:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;7003
2017-05-11;Jeudi;11:30:00;Zone FIMU;Present;Touriste Français;Periode normale;6275
2017-05-11;Jeudi;12:00:00;Zone FIMU;Present;Resident;Periode normale;7663
2017-05-11;Jeudi;12:00:00;Zone FIMU;Present;Touriste Français;Periode normale;5426
2017-05-11;Jeudi;12:30:00;Zone FIMU;Present;Resident;Periode normale;2553
2017-05-11;Jeudi;12:30:00;Zone FIMU;Present;Touriste Français;Periode normale;5880
2017-05-11;Jeudi;13:00:00;Zone FIMU;Present;Resident;Periode normale;4018
2017-05-11;Jeudi;13:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;3379
2017-05-11;Jeudi;13:00:00;Zone FIMU;Present;Touriste Français;Periode normale;4406
2017-05-11;Jeudi;13:30:00;Zone FIMU;Present;Resident;Periode normale;4322
2017-05-11;Jeudi;13:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;3923
2017-05-11;Jeudi;13:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1650
2017-05-11;Jeudi;14:00:00;Zone FIMU;Present;Resident;Periode normale;3041
2017-05-11;Jeudi;14:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;2540
2017-05-11;Jeudi;14:00:00;Zone FIMU;Present;Touriste Français;Periode normale;3192
2017-05-11;Jeudi;14:30:00;Zone FIMU;Present;Resident;Periode normale;5948
2017-05-11;Jeudi;14:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1908
2017-05-11;Jeudi;15:00:00;Zone FIMU;Present;Resident;Periode normale;7586
2017-05-11;Jeudi;15:00:00;Zone FIMU;Present;Touriste Français;Periode normale;9921
2017-05-11;Jeudi;15:30:00;Zone FIMU;Present;Resident;Periode normale;3403
2017-05-11;Jeudi;15:30:00;Zone FIMU;Present;Touriste Français;Periode normale;7947
2017-05-11;Jeudi;16:00:00;Zone FIMU;Present;Resident;Periode normale;2185
2017-05-11;Jeudi;16:00:00;Zone FIMU;Present;Touriste Français;Periode normale;7058
2017-05-11;Jeudi;16:30:00;Zone FIMU;Present;Resident;Periode normale;3840
2017-05-11;Jeudi;16:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;105
2017-05-11;Jeudi;16:30:00;Zone FIMU;Present;Touriste Français;Periode normale;6273
2017-05-11;Jeudi;17:00:00;Zone FIMU;Present;Resident;Periode normale;2161
2017-05-11;Jeudi;17:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;7450
2017-05-11;Jeudi;17:00:00;Zone FIMU;Present;Touriste Français;Periode normale;5464
2017-05-11;Jeudi;17:30:00;Zone FIMU;Present;Resident;Periode normale;9070
2017-05-11;Jeudi;17:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;4922
2017-05-11;Jeudi;17:30:00;Zone FIMU;Present;Touriste Français;Periode normale;3715
2017-05-11;Jeudi;18:00:00;Zone FIMU;Present;Resident;Periode normale;971
2017-05-11;Jeudi;18:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;6995
2017-05-11;Jeudi;18:00:00;Zone FIMU;Present;Touriste Français;Periode normale;7356
2017-05-11;Jeudi;18:30:00;Zone FIMU;Present;Resident;Periode normale;5857
2017-05-11;Jeudi;18:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;3324
2017-05-11;Jeudi;18:30:00;Zone FIMU;Present;Touriste Français;Periode normale;9721
2017-05-11;Jeudi;19:00:00;Zone FIMU;Present;Resident;Periode normale;6813
2017-05-11;Jeudi;19:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;4132
2017-05-11;Jeudi;19:00:00;Zone FIMU;Present;Touriste Français;Periode normale;3117
2017-05-11;Jeudi;19:30:00;Zone FIMU;Present;Resident;Periode normale;9337
2017-05-11;Jeudi;19:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;6569
2017-05-11;Jeudi;19:30:00;Zone FIMU;Present;Touriste Français;Periode normale;608
2017-05-11;Jeudi;20:00:00;Zone FIMU;Present;Resident;Periode normale;284
2017-05-11;Jeudi;20:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;2276
2017-05-11;Jeudi;20:00:00;Zone FIMU;Present;Touriste Français;Periode normale;6580
2017-05-11;Jeudi;20:30:00;Zone FIMU;Present;Resident;Periode normale;3827
2017-05-11;Jeudi;20:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1715
2017-05-11;Jeudi;21:00:00;Zone FIMU;Present;Resident;Periode normale;8556
2017-05-11;Jeudi;21:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;8739
2017-05-11;Jeudi;21:00:00;Zone FIMU;Present;Touriste Français;Periode normale;9198
2017-05-11;Jeudi;21:30:00;Zone FIMU;Present;Resident;Periode normale;6023
2017-05-11;Jeudi;21:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;4453
2017-05-11;Jeudi;21:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2379
2017-05-11;Jeudi;22:00:00;Zone FIMU;Present;Resident;Periode normale;1418
2017-05-11;Jeudi;22:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;9727
2017-05-11;Jeudi;22:00:00;Zone FIMU;Present;Touriste Français;Periode normale;9573
2017-05-11;Jeudi;22:30:00;Zone FIMU;Present;Resident;Periode normale;8731
2017-05-11;Jeudi;22:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;8416
2017-05-11;Jeudi;22:30:00;Zone FIMU;Present;Touriste Français;Periode normale;5801
2017-05-11;Jeudi;23:00:00;Zone FIMU;Present;Resident;Periode normale;2415
2017-05-11;Jeudi;23:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;240
2017-05-11;Jeudi;23:00:00;Zone FIMU;Present;Touriste Français;Periode normale;6119
2017-05-11;Jeudi;23:30:00;Zone FIMU;Present;Resident;Periode normale;571
2017-05-11;Jeudi;23:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;6336
2017-05-11;Jeudi;23:30:00;Zone FIMU;Present;Touriste Français;Periode normale;4400
2017-05-12;Vendredi;00:00:00;Zone FIMU;Present;Resident;Periode normale;1538
2017-05-12;Vendredi;00:00:00;Zone FIMU;Present;Touriste Français;Periode normale;8571
2017-05-12;Vendredi;00:30:00;Zone FIMU;Present;Resident;Periode normale;2780
2017-05-12;Vendredi;00:30:00;Zone FIMU;Present;Touriste Français;Periode normale;4559
2017-05-12;Vendredi;01:00:00;Zone FIMU;Present;Resident;Periode normale;1568
2017-05-12;Vendredi;01:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1894
2017-05-12;Vendredi;01:30:00;Zone FIMU;Present;Touriste Français;Periode normale;4312
2017-05-12;Vendredi;02:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2527
2017-05-12;Vendredi;03:30:00;Zone FIMU;Present;Touriste Français;Periode normale;5505
2017-05-12;Vendredi;04:00:00;Zone FIMU;Present;Touriste Français;Periode normale;7399
2017-05-12;Vendredi;04:30:00;Zone FIMU;Present;Touriste Français;Periode normale;9090
2017-05-12;Vendredi;05:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;5554
2017-05-12;Vendredi;05:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2873
2017-05-12;Vendredi;05:30:00;Zone FIMU;Present;Resident;Periode normale;3612
2017-05-12;Vendredi;05:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;1090
2017-05-12;Vendredi;06:00:00;Zone FIMU;Present;Resident;Periode normale;197
2017-05-12;Vendredi;06:00:00;Zone FIMU;Present;Touriste Français;Periode normale;5361
2017-05-12;Vendredi;06:30:00;Zone FIMU;Present;Resident;Periode normale;6287
2017-05-12;Vendredi;06:30:00;Zone FIMU;Present;Touriste Français;Periode normale;8123
2017-05-12;Vendredi;07:00:00;Zone FIMU;Present;Resident;Periode normale;6598
2017-05-12;Vendredi;07:00:00;Zone FIMU;Present;Touriste Français;Periode normale;9611
2017-05-12;Vendredi;07:30:00;Zone FIMU;Present;Resident;Periode normale;2638
2017-05-12;Vendredi;07:30:00;Zone FIMU;Present;Touriste Français;Periode normale;9842
2017-05-12;Vendredi;08:00:00;Zone FIMU;Present;Resident;Periode normale;5301
2017-05-12;Vendredi;08:00:00;Zone FIMU;Present;Touriste Français;Periode normale;3012
2017-05-12;Vendredi;08:30:00;Zone FIMU;Present;Resident;Periode normale;82
2017-05-12;Vendredi;08:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1628
2017-05-12;Vendredi;09:00:00;Zone FIMU;Present;Resident;Periode normale;3997
2017-05-12;Vendredi;09:00:00;Zone FIMU;Present;Touriste Français;Periode normale;7539
2017-05-12;Vendredi;09:30:00;Zone FIMU;Present;Resident;Periode normale;5282
2017-05-12;Vendredi;09:30:00;Zone FIMU;Present;Touriste Français;Periode normale;4837
2017-05-12;Vendredi;10:00:00;Zone FIMU;Present;Resident;Periode normale;7109
2017-05-12;Vendredi;10:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1949
2017-05-12;Vendredi;10:30:00;Zone FIMU;Present;Resident;Periode normale;3780
2017-05-12;Vendredi;10:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1645
2017-05-12;Vendredi;11:00:00;Zone FIMU;Present;Resident;Periode normale;3472
2017-05-12;Vendredi;11:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;4745
2017-05-12;Vendredi;11:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1280
2017-05-12;Vendredi;11:30:00;Zone FIMU;Present;Resident;Periode normale;4337
2017-05-12;Vendredi;11:30:00;Zone FIMU;Present;Touriste Français;Periode normale;7877
2017-05-12;Vendredi;12:00:00;Zone FIMU;Present;Resident;Periode normale;1211
2017-05-12;Vendredi;12:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;8292
2017-05-12;Vendredi;12:00:00;Zone FIMU;Present;Touriste Français;Periode normale;5974
2017-05-12;Vendredi;12:30:00;Zone FIMU;Present;Resident;Periode normale;323
2017-05-12;Vendredi;12:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;1091
2017-05-12;Vendredi;12:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1265
2017-05-12;Vendredi;13:00:00;Zone FIMU;Present;Resident;Periode normale;283
2017-05-12;Vendredi;13:00:00;Zone FIMU;Present;Touriste Français;Periode normale;9651
2017-05-12;Vendredi;13:30:00;Zone FIMU;Present;Resident;Periode normale;3926
2017-05-12;Vendredi;13:30:00;Zone FIMU;Present;Touriste Français;Periode normale;8819
2017-05-12;Vendredi;14:00:00;Zone FIMU;Present;Resident;Periode normale;9111
2017-05-12;Vendredi;14:00:00;Zone FIMU;Present;Touriste Français;Periode normale;9003
2017-05-12;Vendredi;14:30:00;Zone FIMU;Present;Resident;Periode normale;1374
2017-05-12;Vendredi;14:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;753
2017-05-12;Vendredi;14:30:00;Zone FIMU;Present;Touriste Français;Periode normale;267
2017-05-12;Vendredi;15:00:00;Zone FIMU;Present;Resident;Periode normale;1705
2017-05-12;Vendredi;15:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1201
2017-05-12;Vendredi;15:30:00;Zone FIMU;Present;Resident;Periode normale;8138
2017-05-12;Vendredi;15:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;5887
2017-05-12;Vendredi;15:30:00;Zone FIMU;Present;Touriste Français;Periode normale;7615
2017-05-12;Vendredi;16:00:00;Zone FIMU;Present;Resident;Periode normale;7928
2017-05-12;Vendredi;16:00:00;Zone FIMU;Present;Touriste Français;Periode normale;6854
2017-05-12;Vendredi;16:30:00;Zone FIMU;Present;Resident;Periode normale;1417
2017-05-12;Vendredi;16:30:00;Zone FIMU;Present;Touriste Français;Periode normale;1065
2017-05-12;Vendredi;17:00:00;Zone FIMU;Present;Resident;Periode normale;1237
2017-05-12;Vendredi;17:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;7905
2017-05-12;Vendredi;17:00:00;Zone FIMU;Present;Touriste Français;Periode normale;5942
2017-05-12;Vendredi;17:30:00;Zone FIMU;Present;Resident;Periode normale;4937
2017-05-12;Vendredi;17:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;9685
2017-05-12;Vendredi;17:30:00;Zone FIMU;Present;Touriste Français;Periode normale;44
2017-05-12;Vendredi;18:00:00;Zone FIMU;Present;Resident;Periode normale;7159
2017-05-12;Vendredi;18:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;5532
2017-05-12;Vendredi;18:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1628
2017-05-12;Vendredi;18:30:00;Zone FIMU;Present;Resident;Periode normale;5991
2017-05-12;Vendredi;18:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;5320
2017-05-12;Vendredi;18:30:00;Zone FIMU;Present;Touriste Français;Periode normale;4886
2017-05-12;Vendredi;19:00:00;Zone FIMU;Present;Resident;Periode normale;8611
2017-05-12;Vendredi;19:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;7147
2017-05-12;Vendredi;19:00:00;Zone FIMU;Present;Touriste Français;Periode normale;656
2017-05-12;Vendredi;19:30:00;Zone FIMU;Present;Resident;Periode normale;8142
2017-05-12;Vendredi;19:30:00;Zone FIMU;Present;Touriste Français;Periode normale;8625
2017-05-12;Vendredi;20:00:00;Zone FIMU;Present;Resident;Periode normale;7081
2017-05-12;Vendredi;20:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1190
2017-05-12;Vendredi;20:30:00;Zone FIMU;Present;Resident;Periode normale;9071
2017-05-12;Vendredi;20:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;9654
2017-05-12;Vendredi;20:30:00;Zone FIMU;Present;Touriste Français;Periode normale;665
2017-05-12;Vendredi;21:00:00;Zone FIMU;Present;Resident;Periode normale;8451
2017-05-12;Vendredi;21:00:00;Zone FIMU;Present;Touriste Français;Periode normale;9455
2017-05-12;Vendredi;21:30:00;Zone FIMU;Present;Resident;Periode normale;2492
2017-05-12;Vendredi;21:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;4228
2017-05-12;Vendredi;21:30:00;Zone FIMU;Present;Touriste Français;Periode normale;392
2017-05-12;Vendredi;22:00:00;Zone FIMU;Present;Resident;Periode normale;6476
2017-05-12;Vendredi;22:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;8722
2017-05-12;Vendredi;22:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2854
2017-05-12;Vendredi;22:30:00;Zone FIMU;Present;Resident;Periode normale;6820
2017-05-12;Vendredi;22:30:00;Zone FIMU;Present;Touriste Français;Periode normale;6873
2017-05-12;Vendredi;23:00:00;Zone FIMU;Present;Resident;Periode normale;6568
2017-05-12;Vendredi;23:00:00;Zone FIMU;Present;Touriste Français;Periode normale;8384
2017-05-12;Vendredi;23:30:00;Zone FIMU;Present;Resident;Periode normale;4724
2017-05-12;Vendredi;23:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;2883
2017-05-12;Vendredi;23:30:00;Zone FIMU;Present;Touriste Français;Periode normale;6441
2017-05-13;Samedi;00:00:00;Zone FIMU;Present;Resident;Periode normale;8311
