Date;JourDeLaSemaine;ZoneAnalyse;Age;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-11;Jeudi;Zone FIMU;25-34;Touriste Français;Excursionniste;Periode normale;2135
2017-05-11;Jeudi;Zone FIMU;25-34;Touriste Français;Visiteur;Periode normale;5874
2017-05-11;Jeudi;Zone FIMU;35-44;Resident;Excursionniste;Periode normale;7879
2017-05-11;Jeudi;Zone FIMU;35-44;Resident;Visiteur;Periode normale;6616
2017-05-11;Jeudi;Zone FIMU;35-44;Touriste Français;Excursionniste;Periode normale;6360
2017-05-11;Jeudi;Zone FIMU;35-44;Touriste Français;Visiteur;Periode normale;5790
2017-05-11;Jeudi;Zone FIMU;45-54;Resident;Excursionniste;Periode normale;2561
2017-05-11;Jeudi;Zone FIMU;45-54;Resident;Visiteur;Periode normale;7309
2017-05-11;Jeudi;Zone FIMU;45-54;Touriste Français;Excursionniste;Periode normale;5924
2017-05-11;Jeudi;Zone FIMU;45-54;Touriste Français;Visiteur;Periode normale;8532
2017-05-11;Jeudi;Zone FIMU;55-64;Resident;Excursionniste;Periode normale;6882
2017-05-11;Jeudi;Zone FIMU;55-64;Resident;Visiteur;Periode normale;1807
2017-05-11;Jeudi;Zone FIMU;55-64;Touriste Français;Excursionniste;Periode normale;4606
2017-05-11;Jeudi;Zone FIMU;55-64;Touriste Français;Visiteur;Periode normale;1913
2017-05-11;Jeudi;Zone FIMU;<18;Resident;Excursionniste;Periode normale;9394
2017-05-11;Jeudi;Zone FIMU;<18;Resident;Visiteur;Periode normale;3776
2017-05-11;Jeudi;Zone FIMU;<18;Touriste Français;Excursionniste;Periode normale;2309
2017-05-11;Jeudi;Zone FIMU;<18;Touriste Français;Visiteur;Periode normale;3143
2017-05-11;Jeudi;Zone FIMU;>65;Resident;Excursionniste;Periode normale;3661
2017-05-11;Jeudi;Zone FIMU;>65;Resident;Visiteur;Periode normale;2377
2017-05-11;Jeudi;Zone FIMU;>65;Touriste Français;Excursionniste;Periode normale;5973
2017-05-11;Jeudi;Zone FIMU;>65;Touriste Français;Visiteur;Periode normale;6724
2017-05-12;Vendredi;Zone FIMU;18-24;Resident;Excursionniste;Periode normale;4842
2017-05-12;Vendredi;Zone FIMU;18-24;Resident;Visiteur;Periode normale;2674
2017-05-12;Vendredi;Zone FIMU;18-24;Touriste Français;Excursionniste;Periode normale;4660
2017-05-12;Vendredi;Zone FIMU;18-24;Touriste Français;Visiteur;Periode normale;1709
2017-05-12;Vendredi;Zone FIMU;25-34;Resident;Excursionniste;Periode normale;3204
2017-05-12;Vendredi;Zone FIMU;25-34;Resident;Visiteur;Periode normale;7168
2017-05-12;Vendredi;Zone FIMU;25-34;Touriste Français;Excursionniste;Periode normale;4065
2017-05-12;Vendredi;Zone FIMU;25-34;Touriste Français;Visiteur;Periode normale;8549
2017-05-12;Vendredi;Zone FIMU;35-44;Resident;Excursionniste;Periode normale;9385
2017-05-12;Vendredi;Zone FIMU;35-44;Resident;Visiteur;Periode normale;583
2017-05-12;Vendredi;Zone FIMU;35-44;Touriste Français;Excursionniste;Periode normale;5804
2017-05-12;Vendredi;Zone FIMU;35-44;Touriste Français;Visiteur;Periode normale;3361
2017-05-12;Vendredi;Zone FIMU;45-54;Resident;Excursionniste;Periode normale;9902
2017-05-12;Vendredi;Zone FIMU;45-54;Resident;Visiteur;Periode normale;7558
2017-05-12;Vendredi;Zone FIMU;45-54;Touriste Français;Excursionniste;Periode normale;6635
2017-05-12;Vendredi;Zone FIMU;45-54;Touriste Français;Visiteur;Periode normale;1065
2017-05-12;Vendredi;Zone FIMU;55-64;Resident;Excursionniste;Periode normale;5531
2017-05-12;Vendredi;Zone FIMU;55-64;Resident;Visiteur;Periode normale;7385
2017-05-12;Vendredi;Zone FIMU;55-64;Touriste Français;Excursionniste;Periode normale;1855
2017-05-12;Vendredi;Zone FIMU;55-64;Touriste Français;Visiteur;Periode normale;9842
2017-05-12;Vendredi;Zone FIMU;<18;Resident;Excursionniste;Periode normale;2447
2017-05-12;Vendredi;Zone FIMU;<18;Resident;Visiteur;Periode normale;2305
2017-05-12;Vendredi;Zone FIMU;<18;Touriste Français;Excursionniste;Periode normale;4099
2017-05-12;Vendredi;Zone FIMU;<18;Touriste Français;Visiteur;Periode normale;4788
2017-05-12;Vendredi;Zone FIMU;>65;Resident;Excursionniste;Periode normale;1739
2017-05-12;Vendredi;Zone FIMU;>65;Resident;Visiteur;Periode normale;7869
2017-05-12;Vendredi;Zone FIMU;>65;Touriste Français;Excursionniste;Periode normale;6758
2017-05-12;Vendredi;Zone FIMU;>65;Touriste Français;Visiteur;Periode normale;4139
2017-05-14;Dimanche;Zone FIMU;18-24;Resident;Excursionniste;Periode normale;2277
2017-05-14;Dimanche;Zone FIMU;18-24;Resident;Visiteur;Periode normale;2923
2017-05-14;Dimanche;Zone FIMU;18-24;Touriste Français;Excursionniste;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;18-24;Touriste Français;Visiteur;Periode normale;7006
2017-05-14;Dimanche;Zone FIMU;25-34;Resident;Excursionniste;Periode normale;4054
2017-05-14;Dimanche;Zone FIMU;25-34;Resident;Visiteur;Periode normale;5393
2017-05-14;Dimanche;Zone FIMU;25-34;Touriste Français;Excursionniste;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;25-34;Touriste Français;Visiteur;Periode normale;7236
2017-05-14;Dimanche;Zone FIMU;35-44;Resident;Excursionniste;Periode normale;158
2017-05-14;Dimanche;Zone FIMU;35-44;Resident;Visiteur;Periode normale;349
2017-05-14;Dimanche;Zone FIMU;35-44;Touriste Français;Excursionniste;Periode normale;9578
2017-05-14;Dimanche;Zone FIMU;35-44;Touriste Français;Visiteur;Periode normale;3813
2017-05-14;Dimanche;Zone FIMU;45-54;Resident;Excursionniste;Periode normale;8699
2017-05-14;Dimanche;Zone FIMU;45-54;Resident;Visiteur;Periode normale;7910
2017-05-14;Dimanche;Zone FIMU;45-54;Touriste Français;Excursionniste;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;45-54;Touriste Français;Visiteur;Periode normale;1709
2017-05-14;Dimanche;Zone FIMU;55-64;Resident;Excursionniste;Periode normale;3332
2017-05-14;Dimanche;Zone FIMU;55-64;Resident;Visiteur;Periode normale;9006
2017-05-14;Dimanche;Zone FIMU;55-64;Touriste Français;Excursionniste;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;55-64;Touriste Français;Visiteur;Periode normale;2271
2017-05-14;Dimanche;Zone FIMU;<18;Resident;Excursionniste;Periode normale;3484
2017-05-14;Dimanche;Zone FIMU;<18;Resident;Visiteur;Periode normale;7412
2017-05-14;Dimanche;Zone FIMU;<18;Touriste Français;Excursionniste;Periode normale;2624
2017-05-14;Dimanche;Zone FIMU;<18;Touriste Français;Visiteur;Periode normale;3401
2017-05-14;Dimanche;Zone FIMU;>65;Resident;Excursionniste;Periode normale;3364
2017-05-14;Dimanche;Zone FIMU;>65;Resident;Visiteur;Periode normale;9698
2017-05-14;Dimanche;Zone FIMU;>65;Touriste Français;Excursionniste;Periode normale;8655
2017-05-14;Dimanche;Zone FIMU;>65;Touriste Français;Visiteur;Periode normale;6884
2017-05-15;Lundi;Zone FIMU;18-24;Resident;Excursionniste;Periode normale;7263
2017-05-15;Lundi;Zone FIMU;18-24;Resident;Visiteur;Periode normale;7450
2017-05-15;Lundi;Zone FIMU;18-24;Touriste Français;Excursionniste;Periode normale;7799
2017-05-15;Lundi;Zone FIMU;18-24;Touriste Français;Visiteur;Periode normale;7723
2017-05-15;Lundi;Zone FIMU;25-34;Resident;Excursionniste;Periode normale;4309
2017-05-15;Lundi;Zone FIMU;25-34;Resident;Visiteur;Periode normale;5024
2017-05-15;Lundi;Zone FIMU;25-34;Touriste Français;Excursionniste;Periode normale;2030
2017-05-15;Lundi;Zone FIMU;25-34;Touriste Français;Visiteur;Periode normale;3057
2017-05-15;Lundi;Zone FIMU;35-44;Resident;Excursionniste;Periode normale;6066
2017-05-15;Lundi;Zone FIMU;35-44;Resident;Visiteur;Periode normale;2984
2017-05-15;Lundi;Zone FIMU;35-44;Touriste Français;Excursionniste;Periode normale;2220
2017-05-15;Lundi;Zone FIMU;35-44;Touriste Français;Visiteur;Periode normale;9387
2017-05-15;Lundi;Zone FIMU;45-54;Resident;Excursionniste;Periode normale;7043
2017-05-15;Lundi;Zone FIMU;45-54;Resident;Visiteur;Periode normale;7358
2017-05-15;Lundi;Zone FIMU;45-54;Touriste Français;Excursionniste;Periode normale;3479
2017-05-15;Lundi;Zone FIMU;45-54;Touriste Français;Visiteur;Periode normale;8943
2017-05-15;Lundi;Zone FIMU;55-64;Resident;Excursionniste;Periode normale;4863
2017-05-15;Lundi;Zone FIMU;55-64;Resident;Visiteur;Periode normale;6436
2017-05-15;Lundi;Zone FIMU;55-64;Touriste Français;Excursionniste;Periode normale;6032
2017-05-15;Lundi;Zone FIMU;55-64;Touriste Français;Visiteur;Periode normale;3115
2017-05-15;Lundi;Zone FIMU;<18;Resident;Excursionniste;Periode normale;3251
2017-05-15;Lundi;Zone FIMU;<18;Resident;Visiteur;Periode normale;2904
2017-05-15;Lundi;Zone FIMU;<18;Touriste Français;Excursionniste;Periode normale;3939
2017-05-15;Lundi;Zone FIMU;<18;Touriste Français;Visiteur;Periode normale;3146
2017-05-15;Lundi;Zone FIMU;>65;Resident;Excursionniste;Periode normale;3814
2017-05-15;Lundi;Zone FIMU;>65;Resident;Visiteur;Periode normale;9744
2017-05-15;Lundi;Zone FIMU;>65;Touriste Français;Excursionniste;Periode normale;6115
2017-05-15;Lundi;Zone FIMU;>65;Touriste Français;Visiteur;Periode normale;759
2017-05-16;Mardi;Zone FIMU;18-24;Resident;Excursionniste;Periode normale;9601
2017-05-16;Mardi;Zone FIMU;18-24;Resident;Visiteur;Periode normale;6656
2017-05-16;Mardi;Zone FIMU;18-24;Touriste Français;Excursionniste;Periode normale;5095
2017-05-16;Mardi;Zone FIMU;18-24;Touriste Français;Visiteur;Periode normale;5451
2017-05-16;Mardi;Zone FIMU;25-34;Resident;Excursionniste;Periode normale;1355
2017-05-16;Mardi;Zone FIMU;25-34;Resident;Visiteur;Periode normale;2135
2017-05-16;Mardi;Zone FIMU;25-34;Touriste Français;Excursionniste;Periode normale;4525
2017-05-16;Mardi;Zone FIMU;25-34;Touriste Français;Visiteur;Periode normale;8100
2017-05-16;Mardi;Zone FIMU;35-44;Resident;Excursionniste;Periode normale;9921
2017-05-16;Mardi;Zone FIMU;35-44;Resident;Visiteur;Periode normale;9482
2017-05-16;Mardi;Zone FIMU;35-44;Touriste Français;Excursionniste;Periode normale;3564
2017-05-16;Mardi;Zone FIMU;35-44;Touriste Français;Visiteur;Periode normale;7530
2017-05-16;Mardi;Zone FIMU;45-54;Resident;Excursionniste;Periode normale;2437
2017-05-16;Mardi;Zone FIMU;45-54;Resident;Visiteur;Periode normale;8359
2017-05-16;Mardi;Zone FIMU;45-54;Touriste Français;Excursionniste;Periode normale;7721
2017-05-16;Mardi;Zone FIMU;45-54;Touriste Français;Visiteur;Periode normale;2556
2017-05-16;Mardi;Zone FIMU;55-64;Resident;Excursionniste;Periode normale;4556
2017-05-16;Mardi;Zone FIMU;55-64;Resident;Visiteur;Periode normale;5348
2017-05-16;Mardi;Zone FIMU;55-64;Touriste Français;Excursionniste;Periode normale;4579
2017-05-16;Mardi;Zone FIMU;55-64;Touriste Français;Visiteur;Periode normale;9337
2017-05-16;Mardi;Zone FIMU;<18;Resident;Excursionniste;Periode normale;3507
2017-05-16;Mardi;Zone FIMU;<18;Resident;Visiteur;Periode normale;2497
2017-05-16;Mardi;Zone FIMU;<18;Touriste Français;Excursionniste;Periode normale;8581
2017-05-16;Mardi;Zone FIMU;<18;Touriste Français;Visiteur;Periode normale;899
2017-05-16;Mardi;Zone FIMU;>65;Resident;Excursionniste;Periode normale;4450
2017-05-16;Mardi;Zone FIMU;>65;Resident;Visiteur;Periode normale;4632
2017-05-16;Mardi;Zone FIMU;>65;Touriste Français;Excursionniste;Periode normale;3813
2017-05-16;Mardi;Zone FIMU;>65;Touriste Français;Visiteur;Periode normale;7290
2017-05-17;Mercredi;Zone FIMU;18-24;Resident;Excursionniste;Periode normale;2544
2017-05-17;Mercredi;Zone FIMU;18-24;Resident;Visiteur;Periode normale;2970
2017-05-17;Mercredi;Zone FIMU;18-24;Touriste Français;Excursionniste;Periode normale;1906
2017-05-17;Mercredi;Zone FIMU;18-24;Touriste Français;Visiteur;Periode normale;5174
2017-05-17;Mercredi;Zone FIMU;25-34;Resident;Excursionniste;Periode normale;3458
2017-05-17;Mercredi;Zone FIMU;25-34;Resident;Visiteur;Periode normale;3572
2017-05-17;Mercredi;Zone FIMU;25-34;Touriste Français;Excursionniste;Periode normale;8293
2017-05-17;Mercredi;Zone FIMU;25-34;Touriste Français;Visiteur;Periode normale;7648
2017-05-17;Mercredi;Zone FIMU;35-44;Resident;Excursionniste;Periode normale;9750
2017-05-17;Mercredi;Zone FIMU;35-44;Resident;Visiteur;Periode normale;8369
2017-05-17;Mercredi;Zone FIMU;35-44;Touriste Français;Excursionniste;Periode normale;9237
2017-05-17;Mercredi;Zone FIMU;35-44;Touriste Français;Visiteur;Periode normale;1926
2017-05-17;Mercredi;Zone FIMU;45-54;Resident;Excursionniste;Periode normale;948
2017-05-17;Mercredi;Zone FIMU;45-54;Resident;Visiteur;Periode normale;4159
2017-05-17;Mercredi;Zone FIMU;45-54;Touriste Français;Excursionniste;Periode normale;1214
2017-05-17;Mercredi;Zone FIMU;45-54;Touriste Français;Visiteur;Periode normale;6406
2017-05-17;Mercredi;Zone FIMU;55-64;Resident;Excursionniste;Periode normale;9737
2017-05-17;Mercredi;Zone FIMU;55-64;Resident;Visiteur;Periode normale;8940
2017-05-17;Mercredi;Zone FIMU;55-64;Touriste Français;Excursionniste;Periode normale;3437
2017-05-17;Mercredi;Zone FIMU;55-64;Touriste Français;Visiteur;Periode normale;3680
2017-05-17;Mercredi;Zone FIMU;<18;Resident;Excursionniste;Periode normale;5334
2017-05-17;Mercredi;Zone FIMU;<18;Resident;Visiteur;Periode normale;4474
2017-05-17;Mercredi;Zone FIMU;<18;Touriste Français;Excursionniste;Periode normale;32
2017-05-17;Mercredi;Zone FIMU;<18;Touriste Français;Visiteur;Periode normale;578
2017-05-17;Mercredi;Zone FIMU;>65;Resident;Excursionniste;Periode normale;1265
2017-05-17;Mercredi;Zone FIMU;>65;Resident;Visiteur;Periode normale;1906
2017-05-17;Mercredi;Zone FIMU;>65;Touriste Français;Excursionniste;Periode normale;5376
2017-05-17;Mercredi;Zone FIMU;>65;Touriste Français;Visiteur;Periode normale;9281
2017-05-18;Jeudi;Zone FIMU;18-24;Resident;Excursionniste;Periode normale;8926
2017-05-18;Jeudi;Zone FIMU;18-24;Resident;Visiteur;Periode normale;2935
2017-05-18;Jeudi;Zone FIMU;18-24;Touriste Français;Excursionniste;Periode normale;5779
2017-05-18;Jeudi;Zone FIMU;18-24;Touriste Français;Visiteur;Periode normale;153
2017-05-18;Jeudi;Zone FIMU;25-34;Resident;Excursionniste;Periode normale;6125
2017-05-18;Jeudi;Zone FIMU;25-34;Resident;Visiteur;Periode normale;3161
2017-05-18;Jeudi;Zone FIMU;25-34;Touriste Français;Excursionniste;Periode normale;6790
2017-05-18;Jeudi;Zone FIMU;25-34;Touriste Français;Visiteur;Periode normale;3846
2017-05-18;Jeudi;Zone FIMU;35-44;Resident;Excursionniste;Periode normale;3285
2017-05-18;Jeudi;Zone FIMU;35-44;Resident;Visiteur;Periode normale;1353
2017-05-18;Jeudi;Zone FIMU;35-44;Touriste Français;Excursionniste;Periode normale;9665
2017-05-18;Jeudi;Zone FIMU;35-44;Touriste Français;Visiteur;Periode normale;7375
2017-05-18;Jeudi;Zone FIMU;45-54;Resident;Excursionniste;Periode normale;1405
2017-05-18;Jeudi;Zone FIMU;45-54;Resident;Visiteur;Periode normale;9085
2017-05-18;Jeudi;Zone FIMU;45-54;Touriste Français;Excursionniste;Periode normale;3406
2017-05-18;Jeudi;Zone FIMU;45-54;Touriste Français;Visiteur;Periode normale;8943
2017-05-18;Jeudi;Zone FIMU;55-64;Resident;Excursionniste;Periode normale;4746
2017-05-18;Jeudi;Zone FIMU;55-64;Resident;Visiteur;Periode normale;4688
2017-05-18;Jeudi;Zone FIMU;55-64;Touriste Français;Excursionniste;Periode normale;3083
2017-05-18;Jeudi;Zone FIMU;55-64;Touriste Français;Visiteur;Periode normale;2735
2017-05-18;Jeudi;Zone FIMU;<18;Resident;Excursionniste;Periode normale;3125
2017-05-18;Jeudi;Zone FIMU;<18;Resident;Visiteur;Periode normale;4014
2017-05-18;Jeudi;Zone FIMU;<18;Touriste Français;Excursionniste;Periode normale;5842
2017-05-18;Jeudi;Zone FIMU;<18;Touriste Français;Visiteur;Periode normale;5663
2017-05-18;Jeudi;Zone FIMU;>65;Resident;Excursionniste;Periode normale;1365
2017-05-18;Jeudi;Zone FIMU;>65;Resident;Visiteur;Periode normale;749
2017-05-18;Jeudi;Zone FIMU;>65;Touriste Français;Excursionniste;Periode normale;4368
2017-05-18;Jeudi;Zone FIMU;>65;Touriste Français;Visiteur;Periode normale;3996
2017-05-19;Vendredi;Zone FIMU;18-24;Resident;Excursionniste;Periode normale;4402
2017-05-19;Vendredi;Zone FIMU;18-24;Resident;Visiteur;Periode normale;378
2017-05-19;Vendredi;Zone FIMU;18-24;Touriste Français;Excursionniste;Periode normale;4724
2017-05-19;Vendredi;Zone FIMU;18-24;Touriste Français;Visiteur;Periode normale;6769
2017-05-19;Vendredi;Zone FIMU;25-34;Resident;Excursionniste;Periode normale;373
2017-05-19;Vendredi;Zone FIMU;25-34;Resident;Visiteur;Periode normale;841
2017-05-19;Vendredi;Zone FIMU;25-34;Touriste Français;Excursionniste;Periode normale;1416
2017-05-19;Vendredi;Zone FIMU;25-34;Touriste Français;Visiteur;Periode normale;4394
2017-05-19;Vendredi;Zone FIMU;35-44;Resident;Excursionniste;Periode normale;772
2017-05-19;Vendredi;Zone FIMU;35-44;Resident;Visiteur;Periode normale;1791
2017-05-19;Vendredi;Zone FIMU;35-44;Touriste Français;Excursionniste;Periode normale;2975
2017-05-19;Vendredi;Zone FIMU;35-44;Touriste Français;Visiteur;Periode normale;285
2017-05-19;Vendredi;Zone FIMU;45-54;Resident;Excursionniste;Periode normale;7266
2017-05-19;Vendredi;Zone FIMU;45-54;Resident;Visiteur;Periode normale;9084
2017-05-19;Vendredi;Zone FIMU;45-54;Touriste Français;Excursionniste;Periode normale;9792
2017-05-19;Vendredi;Zone FIMU;45-54;Touriste Français;Visiteur;Periode normale;9102
2017-05-19;Vendredi;Zone FIMU;55-64;Resident;Excursionniste;Periode normale;6138
2017-05-19;Vendredi;Zone FIMU;55-64;Resident;Visiteur;Periode normale;9913
2017-05-19;Vendredi;Zone FIMU;55-64;Touriste Français;Excursionniste;Periode normale;1885
2017-05-19;Vendredi;Zone FIMU;55-64;Touriste Français;Visiteur;Periode normale;4402
2017-05-19;Vendredi;Zone FIMU;<18;Resident;Excursionniste;Periode normale;603
2017-05-19;Vendredi;Zone FIMU;<18;Resident;Visiteur;Periode normale;9006
2017-05-19;Vendredi;Zone FIMU;<18;Touriste Français;Excursionniste;Periode normale;114
2017-05-19;Vendredi;Zone FIMU;<18;Touriste Français;Visiteur;Periode normale;8305
2017-05-19;Vendredi;Zone FIMU;>65;Resident;Excursionniste;Periode normale;2126
2017-05-19;Vendredi;Zone FIMU;>65;Resident;Visiteur;Periode normale;4232
2017-05-19;Vendredi;Zone FIMU;>65;Touriste Français;Excursionniste;Periode normale;593
2017-05-19;Vendredi;Zone FIMU;>65;Touriste Français;Visiteur;Periode normale;7238
2017-05-20;Samedi;Zone FIMU;18-24;Resident;Excursionniste;Periode normale;8830
2017-05-20;Samedi;Zone FIMU;18-24;Resident;Visiteur;Periode normale;1161
2017-05-20;Samedi;Zone FIMU;18-24;Touriste Français;Excursionniste;Periode normale;4116
2017-05-20;Samedi;Zone FIMU;18-24;Touriste Français;Visiteur;Periode normale;5822
2017-05-20;Samedi;Zone FIMU;25-34;Resident;Excursionniste;Periode normale;136
2017-05-20;Samedi;Zone FIMU;25-34;Resident;Visiteur;Periode normale;388
2017-05-20;Samedi;Zone FIMU;25-34;Touriste Français;Excursionniste;Periode normale;9213
2017-05-20;Samedi;Zone FIMU;25-34;Touriste Français;Visiteur;Periode normale;5353
2017-05-20;Samedi;Zone FIMU;35-44;Resident;Excursionniste;Periode normale;4040
2017-05-20;Samedi;Zone FIMU;35-44;Resident;Visiteur;Periode normale;9363
2017-05-20;Samedi;Zone FIMU;35-44;Touriste Français;Excursionniste;Periode normale;5281
2017-05-20;Samedi;Zone FIMU;35-44;Touriste Français;Visiteur;Periode normale;7001
2017-05-20;Samedi;Zone FIMU;45-54;Resident;Excursionniste;Periode normale;4253
2017-05-20;Samedi;Zone FIMU;45-54;Resident;Visiteur;Periode normale;7866
2017-05-20;Samedi;Zone FIMU;45-54;Touriste Français;Excursionniste;Periode normale;3197
2017-05-20;Samedi;Zone FIMU;45-54;Touriste Français;Visiteur;Periode normale;1312
2017-05-20;Samedi;Zone FIMU;55-64;Resident;Excursionniste;Periode normale;6825
2017-05-20;Samedi;Zone FIMU;55-64;Resident;Visiteur;Periode normale;4879
2017-05-20;Samedi;Zone FIMU;55-64;Touriste Français;Excursionniste;Periode normale;1725
2017-05-20;Samedi;Zone FIMU;55-64;Touriste Français;Visiteur;Periode normale;591
2017-05-20;Samedi;Zone FIMU;<18;Resident;Excursionniste;Periode normale;791
2017-05-20;Samedi;Zone FIMU;<18;Resident;Visiteur;Periode normale;1156
2017-05-20;Samedi;Zone FIMU;<18;Touriste Français;Excursionniste;Periode normale;1335
2017-05-20;Samedi;Zone FIMU;<18;Touriste Français;Visiteur;Periode normale;2724
2017-05-20;Samedi;Zone FIMU;>65;Resident;Excursionniste;Periode normale;4548
2017-05-20;Samedi;Zone FIMU;>65;Resident;Visiteur;Periode normale;9898
2017-05-20;Samedi;Zone FIMU;>65;Touriste Français;Excursionniste;Periode normale;3052
2017-05-20;Samedi;Zone FIMU;>65;Touriste Français;Visiteur;Periode normale;7686
2017-05-21;Dimanche;Zone FIMU;18-24;Resident;Excursionniste;Periode normale;7453
2017-05-21;Dimanche;Zone FIMU;18-24;Resident;Visiteur;Periode normale;9880
2017-05-21;Dimanche;Zone FIMU;18-24;Touriste Français;Excursionniste;Periode normale;9679
2017-05-21;Dimanche;Zone FIMU;18-24;Touriste Français;Visiteur;Periode normale;5651
2017-05-21;Dimanche;Zone FIMU;25-34;Resident;Excursionniste;Periode normale;8156
2017-05-21;Dimanche;Zone FIMU;25-34;Resident;Visiteur;Periode normale;7079
2017-05-21;Dimanche;Zone FIMU;25-34;Touriste Français;Excursionniste;Periode normale;9952
2017-05-21;Dimanche;Zone FIMU;25-34;Touriste Français;Visiteur;Periode normale;7164
2017-05-21;Dimanche;Zone FIMU;35-44;Resident;Excursionniste;Periode normale;7557
2017-05-21;Dimanche;Zone FIMU;35-44;Resident;Visiteur;Periode normale;8606
2017-05-21;Dimanche;Zone FIMU;35-44;Touriste Français;Excursionniste;Periode normale;487
2017-05-21;Dimanche;Zone FIMU;35-44;Touriste Français;Visiteur;Periode normale;2983
2017-05-21;Dimanche;Zone FIMU;45-54;Resident;Excursionniste;Periode normale;7245
2017-05-21;Dimanche;Zone FIMU;45-54;Resident;Visiteur;Periode normale;8179
2017-05-21;Dimanche;Zone FIMU;45-54;Touriste Français;Excursionniste;Periode normale;9142
2017-05-21;Dimanche;Zone FIMU;45-54;Touriste Français;Visiteur;Periode normale;2220
2017-05-21;Dimanche;Zone FIMU;55-64;Resident;Excursionniste;Periode normale;7585
2017-05-21;Dimanche;Zone FIMU;55-64;Resident;Visiteur;Periode normale;8166
2017-05-21;Dimanche;Zone FIMU;55-64;Touriste Français;Excursionniste;Periode normale;6057
2017-05-21;Dimanche;Zone FIMU;55-64;Touriste Français;Visiteur;Periode normale;1184
2017-05-21;Dimanche;Zone FIMU;<18;Resident;Excursionniste;Periode normale;1504
2017-05-21;Dimanche;Zone FIMU;<18;Resident;Visiteur;Periode normale;663
2017-05-21;Dimanche;Zone FIMU;<18;Touriste Français;Excursionniste;Periode normale;9189
2017-05-21;Dimanche;Zone FIMU;<18;Touriste Français;Visiteur;Periode normale;4042
2017-05-21;Dimanche;Zone FIMU;>65;Resident;Excursionniste;Periode normale;8974
2017-05-21;Dimanche;Zone FIMU;>65;Resident;Visiteur;Periode normale;9847
