Date;JourDeLaSemaine;Heure;Presence30Min;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;18:30:00;Présent;Touriste Français;All-FIMU;7656
2016-04-22;Vendredi;18:30:00;Présent;Touriste Etranger;All-FIMU;9349
2016-04-22;Vendredi;19:00:00;Présent;Résident ;All-FIMU;8429
2016-04-22;Vendredi;19:00:00;Présent;Touriste Français;All-FIMU;9941
2016-04-22;Vendredi;19:00:00;Présent;Touriste Etranger;All-FIMU;6838
2016-04-22;Vendredi;19:30:00;Présent;Résident ;All-FIMU;6357
2016-04-22;Vendredi;19:30:00;Présent;Touriste Français;All-FIMU;8654
2016-04-22;Vendredi;19:30:00;Présent;Touriste Etranger;All-FIMU;29
2016-04-22;Vendredi;20:00:00;Présent;Résident ;All-FIMU;9212
2016-04-22;Vendredi;20:00:00;Présent;Touriste Français;All-FIMU;5658
2016-04-22;Vendredi;20:00:00;Présent;Touriste Etranger;All-FIMU;6512
2016-04-22;Vendredi;20:30:00;Présent;Résident ;All-FIMU;2081
2016-04-22;Vendredi;20:30:00;Présent;Touriste Français;All-FIMU;888
2016-04-22;Vendredi;20:30:00;Présent;Touriste Etranger;All-FIMU;3925
2016-04-22;Vendredi;21:00:00;Présent;Résident ;All-FIMU;51
2016-04-22;Vendredi;21:00:00;Présent;Touriste Français;All-FIMU;6128
2016-04-22;Vendredi;21:00:00;Présent;Touriste Etranger;All-FIMU;1454
2016-04-22;Vendredi;21:30:00;Présent;Résident ;All-FIMU;1383
2016-04-22;Vendredi;21:30:00;Présent;Touriste Français;All-FIMU;106
2016-04-22;Vendredi;21:30:00;Présent;Touriste Etranger;All-FIMU;6824
2016-04-22;Vendredi;22:00:00;Présent;Résident ;All-FIMU;1727
2016-04-22;Vendredi;22:00:00;Présent;Touriste Français;All-FIMU;6208
2016-04-22;Vendredi;22:00:00;Présent;Touriste Etranger;All-FIMU;7123
2016-04-22;Vendredi;22:30:00;Présent;Résident ;All-FIMU;4725
2016-04-22;Vendredi;22:30:00;Présent;Touriste Français;All-FIMU;8548
2016-04-22;Vendredi;22:30:00;Présent;Touriste Etranger;All-FIMU;8073
2016-04-22;Vendredi;23:00:00;Présent;Résident ;All-FIMU;6862
2016-04-22;Vendredi;23:00:00;Présent;Touriste Français;All-FIMU;2680
2016-04-22;Vendredi;23:00:00;Présent;Touriste Etranger;All-FIMU;8210
2016-04-22;Vendredi;23:30:00;Présent;Résident ;All-FIMU;878
2016-04-22;Vendredi;23:30:00;Présent;Touriste Français;All-FIMU;609
2016-04-22;Vendredi;23:30:00;Présent;Touriste Etranger;All-FIMU;4336
2016-04-23;Samedi;12:00:00;Présent;Résident ;All-FIMU;739
2016-04-23;Samedi;12:00:00;Présent;Touriste Français;All-FIMU;610
2016-04-23;Samedi;12:00:00;Présent;Touriste Etranger;All-FIMU;8207
2016-04-23;Samedi;12:30:00;Présent;Résident ;All-FIMU;3921
2016-04-23;Samedi;12:30:00;Présent;Touriste Français;All-FIMU;5785
2016-04-23;Samedi;12:30:00;Présent;Touriste Etranger;All-FIMU;955
2016-04-23;Samedi;13:00:00;Présent;Résident ;All-FIMU;7648
2016-04-23;Samedi;13:00:00;Présent;Touriste Français;All-FIMU;1477
2016-04-23;Samedi;13:00:00;Présent;Touriste Etranger;All-FIMU;64
2016-04-23;Samedi;13:30:00;Présent;Résident ;All-FIMU;4032
2016-04-23;Samedi;13:30:00;Présent;Touriste Français;All-FIMU;9258
2016-04-23;Samedi;13:30:00;Présent;Touriste Etranger;All-FIMU;464
2016-04-23;Samedi;14:00:00;Présent;Résident ;All-FIMU;4175
2016-04-23;Samedi;14:00:00;Présent;Touriste Français;All-FIMU;4036
2016-04-23;Samedi;14:00:00;Présent;Touriste Etranger;All-FIMU;7111
2016-04-23;Samedi;14:30:00;Présent;Résident ;All-FIMU;858
2016-04-23;Samedi;14:30:00;Présent;Touriste Français;All-FIMU;9540
2016-04-23;Samedi;14:30:00;Présent;Touriste Etranger;All-FIMU;9706
2016-04-23;Samedi;15:00:00;Présent;Résident ;All-FIMU;6011
2016-04-23;Samedi;15:00:00;Présent;Touriste Français;All-FIMU;7349
2016-04-23;Samedi;15:00:00;Présent;Touriste Etranger;All-FIMU;723
2016-04-23;Samedi;15:30:00;Présent;Résident ;All-FIMU;6327
2016-04-23;Samedi;15:30:00;Présent;Touriste Français;All-FIMU;732
2016-04-23;Samedi;15:30:00;Présent;Touriste Etranger;All-FIMU;8162
2016-04-23;Samedi;16:00:00;Présent;Résident ;All-FIMU;8864
2016-04-23;Samedi;16:00:00;Présent;Touriste Français;All-FIMU;7316
2016-04-23;Samedi;16:00:00;Présent;Touriste Etranger;All-FIMU;9612
2016-04-23;Samedi;16:30:00;Présent;Résident ;All-FIMU;5237
2016-04-23;Samedi;16:30:00;Présent;Touriste Français;All-FIMU;2288
2016-04-23;Samedi;16:30:00;Présent;Touriste Etranger;All-FIMU;7626
2016-04-23;Samedi;17:00:00;Présent;Résident ;All-FIMU;8912
2016-04-23;Samedi;17:00:00;Présent;Touriste Français;All-FIMU;6487
2016-04-23;Samedi;17:00:00;Présent;Touriste Etranger;All-FIMU;3035
2016-04-23;Samedi;17:30:00;Présent;Résident ;All-FIMU;2079
2016-04-23;Samedi;17:30:00;Présent;Touriste Français;All-FIMU;4948
2016-04-23;Samedi;17:30:00;Présent;Touriste Etranger;All-FIMU;2468
2016-04-23;Samedi;18:00:00;Présent;Résident ;All-FIMU;9559
2016-04-23;Samedi;18:00:00;Présent;Touriste Français;All-FIMU;1752
2016-04-23;Samedi;18:00:00;Présent;Touriste Etranger;All-FIMU;3805
2016-04-23;Samedi;18:30:00;Présent;Résident ;All-FIMU;3136
2016-04-23;Samedi;18:30:00;Présent;Touriste Français;All-FIMU;2306
2016-04-23;Samedi;18:30:00;Présent;Touriste Etranger;All-FIMU;5267
2016-04-23;Samedi;19:00:00;Présent;Résident ;All-FIMU;3684
2016-04-23;Samedi;19:00:00;Présent;Touriste Français;All-FIMU;2545
2016-04-23;Samedi;19:00:00;Présent;Touriste Etranger;All-FIMU;754
2016-04-23;Samedi;19:30:00;Présent;Résident ;All-FIMU;6508
2016-04-23;Samedi;19:30:00;Présent;Touriste Français;All-FIMU;22
2016-04-23;Samedi;19:30:00;Présent;Touriste Etranger;All-FIMU;6185
2016-04-23;Samedi;20:00:00;Présent;Résident ;All-FIMU;2482
2016-04-23;Samedi;20:00:00;Présent;Touriste Français;All-FIMU;2786
2016-04-23;Samedi;20:00:00;Présent;Touriste Etranger;All-FIMU;8040
2016-04-23;Samedi;20:30:00;Présent;Résident ;All-FIMU;9265
2016-04-23;Samedi;20:30:00;Présent;Touriste Français;All-FIMU;7320
2016-04-23;Samedi;20:30:00;Présent;Touriste Etranger;All-FIMU;767
2016-04-23;Samedi;21:00:00;Présent;Résident ;All-FIMU;7778
2016-04-23;Samedi;21:00:00;Présent;Touriste Français;All-FIMU;3003
2016-04-23;Samedi;21:00:00;Présent;Touriste Etranger;All-FIMU;2822
2016-04-23;Samedi;21:30:00;Présent;Résident ;All-FIMU;9086
2016-04-23;Samedi;21:30:00;Présent;Touriste Français;All-FIMU;1756
2016-04-23;Samedi;21:30:00;Présent;Touriste Etranger;All-FIMU;3659
2016-04-23;Samedi;22:00:00;Présent;Résident ;All-FIMU;8706
2016-04-23;Samedi;22:00:00;Présent;Touriste Français;All-FIMU;9732
2016-04-23;Samedi;22:00:00;Présent;Touriste Etranger;All-FIMU;9214
2016-04-23;Samedi;22:30:00;Présent;Résident ;All-FIMU;753
2016-04-23;Samedi;22:30:00;Présent;Touriste Français;All-FIMU;2963
2016-04-23;Samedi;22:30:00;Présent;Touriste Etranger;All-FIMU;2114
2016-04-23;Samedi;23:00:00;Présent;Résident ;All-FIMU;5695
2016-04-23;Samedi;23:00:00;Présent;Touriste Français;All-FIMU;4344
2016-04-23;Samedi;23:00:00;Présent;Touriste Etranger;All-FIMU;5047
2016-04-23;Samedi;23:30:00;Présent;Résident ;All-FIMU;1761
2016-04-23;Samedi;23:30:00;Présent;Touriste Français;All-FIMU;1722
2016-04-23;Samedi;23:30:00;Présent;Touriste Etranger;All-FIMU;2455
2016-04-24;Dimanche;12:00:00;Présent;Résident ;All-FIMU;9007
2016-04-24;Dimanche;12:00:00;Présent;Touriste Français;All-FIMU;8863
2016-04-24;Dimanche;12:00:00;Présent;Touriste Etranger;All-FIMU;3904
2016-04-24;Dimanche;12:30:00;Présent;Résident ;All-FIMU;7737
2016-04-24;Dimanche;12:30:00;Présent;Touriste Français;All-FIMU;2920
2016-04-24;Dimanche;12:30:00;Présent;Touriste Etranger;All-FIMU;8676
2016-04-24;Dimanche;13:00:00;Présent;Résident ;All-FIMU;5593
2016-04-24;Dimanche;13:00:00;Présent;Touriste Français;All-FIMU;7972
2016-04-24;Dimanche;13:00:00;Présent;Touriste Etranger;All-FIMU;3405
2016-04-24;Dimanche;13:30:00;Présent;Résident ;All-FIMU;4213
2016-04-24;Dimanche;13:30:00;Présent;Touriste Français;All-FIMU;5616
2016-04-24;Dimanche;13:30:00;Présent;Touriste Etranger;All-FIMU;1478
2016-04-24;Dimanche;14:00:00;Présent;Résident ;All-FIMU;2218
2016-04-24;Dimanche;14:00:00;Présent;Touriste Français;All-FIMU;494
2016-04-24;Dimanche;14:00:00;Présent;Touriste Etranger;All-FIMU;4748
2016-04-24;Dimanche;14:30:00;Présent;Résident ;All-FIMU;1774
2016-04-24;Dimanche;14:30:00;Présent;Touriste Français;All-FIMU;8131
2016-04-24;Dimanche;14:30:00;Présent;Touriste Etranger;All-FIMU;3250
2016-04-24;Dimanche;15:00:00;Présent;Résident ;All-FIMU;8000
2016-04-24;Dimanche;15:00:00;Présent;Touriste Français;All-FIMU;6017
2016-04-24;Dimanche;15:00:00;Présent;Touriste Etranger;All-FIMU;3171
2016-04-24;Dimanche;15:30:00;Présent;Résident ;All-FIMU;3029
2016-04-24;Dimanche;15:30:00;Présent;Touriste Français;All-FIMU;2744
2016-04-24;Dimanche;15:30:00;Présent;Touriste Etranger;All-FIMU;7929
2016-04-24;Dimanche;16:00:00;Présent;Résident ;All-FIMU;61
2016-04-24;Dimanche;16:00:00;Présent;Touriste Français;All-FIMU;4444
2016-04-24;Dimanche;16:00:00;Présent;Touriste Etranger;All-FIMU;7088
2016-04-24;Dimanche;16:30:00;Présent;Résident ;All-FIMU;7785
2016-04-24;Dimanche;16:30:00;Présent;Touriste Français;All-FIMU;4390
2016-04-24;Dimanche;16:30:00;Présent;Touriste Etranger;All-FIMU;4685
2016-04-24;Dimanche;17:00:00;Présent;Résident ;All-FIMU;46
2016-04-24;Dimanche;17:00:00;Présent;Touriste Français;All-FIMU;6849
2016-04-24;Dimanche;17:00:00;Présent;Touriste Etranger;All-FIMU;7503
2016-04-24;Dimanche;17:30:00;Présent;Résident ;All-FIMU;1311
2016-04-24;Dimanche;17:30:00;Présent;Touriste Français;All-FIMU;5882
2016-04-24;Dimanche;17:30:00;Présent;Touriste Etranger;All-FIMU;6373
2016-04-24;Dimanche;18:00:00;Présent;Résident ;All-FIMU;1274
2016-04-24;Dimanche;18:00:00;Présent;Touriste Français;All-FIMU;707
2016-04-24;Dimanche;18:00:00;Présent;Touriste Etranger;All-FIMU;1355
2016-04-24;Dimanche;18:30:00;Présent;Résident ;All-FIMU;4098
2016-04-24;Dimanche;18:30:00;Présent;Touriste Français;All-FIMU;3038
2016-04-24;Dimanche;18:30:00;Présent;Touriste Etranger;All-FIMU;8813
2016-04-24;Dimanche;19:00:00;Présent;Résident ;All-FIMU;5939
2016-04-24;Dimanche;19:00:00;Présent;Touriste Français;All-FIMU;7030
2016-04-24;Dimanche;19:00:00;Présent;Touriste Etranger;All-FIMU;2464
2016-04-24;Dimanche;19:30:00;Présent;Résident ;All-FIMU;8960
2016-04-24;Dimanche;19:30:00;Présent;Touriste Français;All-FIMU;3023
2016-04-24;Dimanche;19:30:00;Présent;Touriste Etranger;All-FIMU;41
2016-04-24;Dimanche;20:00:00;Présent;Résident ;All-FIMU;9860
2016-04-24;Dimanche;20:00:00;Présent;Touriste Français;All-FIMU;9275
2016-04-24;Dimanche;20:00:00;Présent;Touriste Etranger;All-FIMU;8097
2016-04-24;Dimanche;20:30:00;Présent;Résident ;All-FIMU;9958
2016-04-24;Dimanche;20:30:00;Présent;Touriste Français;All-FIMU;4489
2016-04-24;Dimanche;20:30:00;Présent;Touriste Etranger;All-FIMU;7793
2016-04-24;Dimanche;21:00:00;Présent;Résident ;All-FIMU;7129
2016-04-24;Dimanche;21:00:00;Présent;Touriste Français;All-FIMU;3585
2016-04-24;Dimanche;21:00:00;Présent;Touriste Etranger;All-FIMU;3266
2016-04-24;Dimanche;21:30:00;Présent;Résident ;All-FIMU;1432
2016-04-24;Dimanche;21:30:00;Présent;Touriste Français;All-FIMU;8839
2016-04-24;Dimanche;21:30:00;Présent;Touriste Etranger;All-FIMU;3394
2016-04-24;Dimanche;22:00:00;Présent;Résident ;All-FIMU;886
2016-04-24;Dimanche;22:00:00;Présent;Touriste Français;All-FIMU;5987
2016-04-24;Dimanche;22:00:00;Présent;Touriste Etranger;All-FIMU;124
2016-04-24;Dimanche;22:30:00;Présent;Résident ;All-FIMU;4803
2016-04-24;Dimanche;22:30:00;Présent;Touriste Français;All-FIMU;8918
2016-04-24;Dimanche;22:30:00;Présent;Touriste Etranger;All-FIMU;3492
2016-04-24;Dimanche;23:00:00;Présent;Résident ;All-FIMU;2792
2016-04-24;Dimanche;23:00:00;Présent;Touriste Français;All-FIMU;8480
2016-04-24;Dimanche;23:00:00;Présent;Touriste Etranger;All-FIMU;8254
2016-04-24;Dimanche;23:30:00;Présent;Résident ;All-FIMU;3395
2016-04-24;Dimanche;23:30:00;Présent;Touriste Français;All-FIMU;5098
2016-04-24;Dimanche;23:30:00;Présent;Touriste Etranger;All-FIMU;1525
2016-04-25;Lundi;12:00:00;Présent;Résident ;All-FIMU;7269
2016-04-25;Lundi;12:00:00;Présent;Touriste Français;All-FIMU;2105
2016-04-25;Lundi;12:00:00;Présent;Touriste Etranger;All-FIMU;3475
2016-04-25;Lundi;12:30:00;Présent;Résident ;All-FIMU;8611
2016-04-25;Lundi;12:30:00;Présent;Touriste Français;All-FIMU;692
2016-04-25;Lundi;12:30:00;Présent;Touriste Etranger;All-FIMU;7616
2016-04-25;Lundi;13:00:00;Présent;Résident ;All-FIMU;8572
2016-04-25;Lundi;13:00:00;Présent;Touriste Français;All-FIMU;9613
2016-04-25;Lundi;13:00:00;Présent;Touriste Etranger;All-FIMU;6448
2016-04-25;Lundi;13:30:00;Présent;Résident ;All-FIMU;1040
2016-04-25;Lundi;13:30:00;Présent;Touriste Français;All-FIMU;6050
2016-04-25;Lundi;13:30:00;Présent;Touriste Etranger;All-FIMU;1614
2016-04-25;Lundi;14:00:00;Présent;Résident ;All-FIMU;2176
2016-04-25;Lundi;14:00:00;Présent;Touriste Français;All-FIMU;882
2016-04-25;Lundi;14:00:00;Présent;Touriste Etranger;All-FIMU;8020
2016-04-25;Lundi;14:30:00;Présent;Résident ;All-FIMU;1300
2016-04-25;Lundi;14:30:00;Présent;Touriste Français;All-FIMU;1584
2016-04-25;Lundi;14:30:00;Présent;Touriste Etranger;All-FIMU;5751
2016-04-25;Lundi;15:00:00;Présent;Résident ;All-FIMU;8719
2016-04-25;Lundi;15:00:00;Présent;Touriste Français;All-FIMU;6897
2016-04-25;Lundi;15:00:00;Présent;Touriste Etranger;All-FIMU;1682
2016-04-25;Lundi;15:30:00;Présent;Résident ;All-FIMU;5793
2016-04-25;Lundi;15:30:00;Présent;Touriste Français;All-FIMU;9655
2016-04-25;Lundi;15:30:00;Présent;Touriste Etranger;All-FIMU;9883
2016-04-25;Lundi;16:00:00;Présent;Résident ;All-FIMU;529
2016-04-25;Lundi;16:00:00;Présent;Touriste Français;All-FIMU;9529
2016-04-25;Lundi;16:00:00;Présent;Touriste Etranger;All-FIMU;3828
2016-04-25;Lundi;16:30:00;Présent;Résident ;All-FIMU;4192
2016-04-25;Lundi;16:30:00;Présent;Touriste Français;All-FIMU;1396
2016-04-25;Lundi;16:30:00;Présent;Touriste Etranger;All-FIMU;8819
2016-04-25;Lundi;17:00:00;Présent;Résident ;All-FIMU;9299
2016-04-25;Lundi;17:00:00;Présent;Touriste Français;All-FIMU;2102
2016-04-25;Lundi;17:00:00;Présent;Touriste Etranger;All-FIMU;6967
2016-04-25;Lundi;17:30:00;Présent;Résident ;All-FIMU;3850
2016-04-25;Lundi;17:30:00;Présent;Touriste Français;All-FIMU;3527
2016-04-25;Lundi;17:30:00;Présent;Touriste Etranger;All-FIMU;4366
2016-04-25;Lundi;18:00:00;Présent;Résident ;All-FIMU;1080
2016-04-25;Lundi;18:00:00;Présent;Touriste Français;All-FIMU;499
2016-04-25;Lundi;18:00:00;Présent;Touriste Etranger;All-FIMU;537
2016-04-25;Lundi;18:30:00;Présent;Résident ;All-FIMU;5023
2016-04-25;Lundi;18:30:00;Présent;Touriste Français;All-FIMU;9439
2016-04-25;Lundi;18:30:00;Présent;Touriste Etranger;All-FIMU;5005
2016-04-25;Lundi;19:00:00;Présent;Résident ;All-FIMU;1683
2016-04-25;Lundi;19:00:00;Présent;Touriste Français;All-FIMU;8887
2016-04-25;Lundi;19:00:00;Présent;Touriste Etranger;All-FIMU;4476
2016-04-25;Lundi;19:30:00;Présent;Résident ;All-FIMU;1190
2016-04-25;Lundi;19:30:00;Présent;Touriste Français;All-FIMU;3122
2016-04-25;Lundi;19:30:00;Présent;Touriste Etranger;All-FIMU;6965
2016-04-25;Lundi;20:00:00;Présent;Résident ;All-FIMU;1265
2016-04-25;Lundi;20:00:00;Présent;Touriste Français;All-FIMU;227
2016-04-25;Lundi;20:00:00;Présent;Touriste Etranger;All-FIMU;2711
2016-04-25;Lundi;20:30:00;Présent;Résident ;All-FIMU;2491
2016-04-25;Lundi;20:30:00;Présent;Touriste Français;All-FIMU;6131
2016-04-25;Lundi;20:30:00;Présent;Touriste Etranger;All-FIMU;5805
2016-04-25;Lundi;21:00:00;Présent;Résident ;All-FIMU;9355
2016-04-25;Lundi;21:00:00;Présent;Touriste Français;All-FIMU;253
2016-04-25;Lundi;21:00:00;Présent;Touriste Etranger;All-FIMU;2537
2016-04-25;Lundi;21:30:00;Présent;Résident ;All-FIMU;4060
2016-04-25;Lundi;21:30:00;Présent;Touriste Français;All-FIMU;2267
2016-04-25;Lundi;21:30:00;Présent;Touriste Etranger;All-FIMU;781
2016-04-25;Lundi;22:00:00;Présent;Résident ;All-FIMU;6904
2016-04-25;Lundi;22:00:00;Présent;Touriste Français;All-FIMU;8108
2016-04-25;Lundi;22:00:00;Présent;Touriste Etranger;All-FIMU;3387
2016-04-25;Lundi;22:30:00;Présent;Résident ;All-FIMU;7250
2016-04-25;Lundi;22:30:00;Présent;Touriste Français;All-FIMU;402
2016-04-25;Lundi;22:30:00;Présent;Touriste Etranger;All-FIMU;7258
2016-04-25;Lundi;23:00:00;Présent;Résident ;All-FIMU;3421
2016-04-25;Lundi;23:00:00;Présent;Touriste Français;All-FIMU;2497
2016-04-25;Lundi;23:00:00;Présent;Touriste Etranger;All-FIMU;8797
2016-04-25;Lundi;23:30:00;Présent;Résident ;All-FIMU;2722
2016-04-25;Lundi;23:30:00;Présent;Touriste Français;All-FIMU;2239
2016-04-25;Lundi;23:30:00;Présent;Touriste Etranger;All-FIMU;2472
2016-04-26;Mardi;12:00:00;Présent;Résident ;All-FIMU;3878
2016-04-26;Mardi;12:00:00;Présent;Touriste Français;All-FIMU;7509
2016-04-26;Mardi;12:00:00;Présent;Touriste Etranger;All-FIMU;7087
2016-04-26;Mardi;12:30:00;Présent;Résident ;All-FIMU;320
2016-04-26;Mardi;12:30:00;Présent;Touriste Français;All-FIMU;1014
2016-04-26;Mardi;12:30:00;Présent;Touriste Etranger;All-FIMU;2203
2016-04-26;Mardi;13:00:00;Présent;Résident ;All-FIMU;4194
2016-04-26;Mardi;13:00:00;Présent;Touriste Français;All-FIMU;7318
2016-04-26;Mardi;13:00:00;Présent;Touriste Etranger;All-FIMU;9763
2016-04-26;Mardi;13:30:00;Présent;Résident ;All-FIMU;9023
2016-04-26;Mardi;13:30:00;Présent;Touriste Français;All-FIMU;5468
2016-04-26;Mardi;13:30:00;Présent;Touriste Etranger;All-FIMU;3241
2016-04-26;Mardi;14:00:00;Présent;Résident ;All-FIMU;4642
2016-04-26;Mardi;14:00:00;Présent;Touriste Français;All-FIMU;7086
2016-04-26;Mardi;14:00:00;Présent;Touriste Etranger;All-FIMU;6127
2016-04-26;Mardi;14:30:00;Présent;Résident ;All-FIMU;8729
2016-04-26;Mardi;14:30:00;Présent;Touriste Français;All-FIMU;6306
2016-04-26;Mardi;14:30:00;Présent;Touriste Etranger;All-FIMU;1707
2016-04-26;Mardi;15:00:00;Présent;Résident ;All-FIMU;8198
2016-04-26;Mardi;15:00:00;Présent;Touriste Français;All-FIMU;1898
2016-04-26;Mardi;15:00:00;Présent;Touriste Etranger;All-FIMU;262
2016-04-26;Mardi;15:30:00;Présent;Résident ;All-FIMU;590
2016-04-26;Mardi;15:30:00;Présent;Touriste Français;All-FIMU;7145
2016-04-26;Mardi;15:30:00;Présent;Touriste Etranger;All-FIMU;9627
2016-04-26;Mardi;16:00:00;Présent;Résident ;All-FIMU;7082
2016-04-26;Mardi;16:00:00;Présent;Touriste Français;All-FIMU;2418
2016-04-26;Mardi;16:00:00;Présent;Touriste Etranger;All-FIMU;3673
2016-04-26;Mardi;16:30:00;Présent;Résident ;All-FIMU;7576
2016-04-26;Mardi;16:30:00;Présent;Touriste Français;All-FIMU;178
2016-04-26;Mardi;16:30:00;Présent;Touriste Etranger;All-FIMU;5184
2016-04-26;Mardi;17:00:00;Présent;Résident ;All-FIMU;1746
2016-04-26;Mardi;17:00:00;Présent;Touriste Français;All-FIMU;7999
2016-04-26;Mardi;17:00:00;Présent;Touriste Etranger;All-FIMU;9556
2016-04-26;Mardi;17:30:00;Présent;Résident ;All-FIMU;6241
2016-04-26;Mardi;17:30:00;Présent;Touriste Français;All-FIMU;2910
2016-04-26;Mardi;17:30:00;Présent;Touriste Etranger;All-FIMU;3501
2016-04-26;Mardi;18:00:00;Présent;Résident ;All-FIMU;6857
2016-04-26;Mardi;18:00:00;Présent;Touriste Français;All-FIMU;6999
2016-04-26;Mardi;18:00:00;Présent;Touriste Etranger;All-FIMU;9776
2016-04-26;Mardi;18:30:00;Présent;Résident ;All-FIMU;8251
2016-04-26;Mardi;18:30:00;Présent;Touriste Français;All-FIMU;8979
2016-04-26;Mardi;18:30:00;Présent;Touriste Etranger;All-FIMU;9496
2016-04-26;Mardi;19:00:00;Présent;Résident ;All-FIMU;4348
2016-04-26;Mardi;19:00:00;Présent;Touriste Français;All-FIMU;5406
2016-04-26;Mardi;19:00:00;Présent;Touriste Etranger;All-FIMU;9508
2016-04-26;Mardi;19:30:00;Présent;Résident ;All-FIMU;368
2016-04-26;Mardi;19:30:00;Présent;Touriste Français;All-FIMU;5783
2016-04-26;Mardi;19:30:00;Présent;Touriste Etranger;All-FIMU;8103
2016-04-26;Mardi;20:00:00;Présent;Résident ;All-FIMU;3606
2016-04-26;Mardi;20:00:00;Présent;Touriste Français;All-FIMU;6502
2016-04-26;Mardi;20:00:00;Présent;Touriste Etranger;All-FIMU;8631
2016-04-26;Mardi;20:30:00;Présent;Résident ;All-FIMU;1336
2016-04-26;Mardi;20:30:00;Présent;Touriste Français;All-FIMU;5560
2016-04-26;Mardi;20:30:00;Présent;Touriste Etranger;All-FIMU;9825
2016-04-26;Mardi;21:00:00;Présent;Résident ;All-FIMU;2887
2016-04-26;Mardi;21:00:00;Présent;Touriste Français;All-FIMU;7190
2016-04-26;Mardi;21:00:00;Présent;Touriste Etranger;All-FIMU;8073
2016-04-26;Mardi;21:30:00;Présent;Résident ;All-FIMU;510
2016-04-26;Mardi;21:30:00;Présent;Touriste Français;All-FIMU;6393
2016-04-26;Mardi;21:30:00;Présent;Touriste Etranger;All-FIMU;6755
2016-04-26;Mardi;22:00:00;Présent;Résident ;All-FIMU;3053
2016-04-26;Mardi;22:00:00;Présent;Touriste Français;All-FIMU;5033
2016-04-26;Mardi;22:00:00;Présent;Touriste Etranger;All-FIMU;9530
2016-04-26;Mardi;22:30:00;Présent;Résident ;All-FIMU;9410
2016-04-26;Mardi;22:30:00;Présent;Touriste Français;All-FIMU;3359
