Date;JourDeLaSemaine;Geolife;CSP;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-23;Samedi;CUMUL;CUMUL;Visiteur;Journee;Résident ;All-FIMU;2886
2016-04-23;Samedi;CUMUL;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;488
2016-04-23;Samedi;CUMUL;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;6403
2016-04-23;Samedi;CUMUL;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;4038
2016-04-23;Samedi;NR;NR;Visiteur;Journee;Résident ;All-FIMU;1762
2016-04-23;Samedi;NR;NR;Visiteur;Journee;Touriste Français;All-FIMU;84
2016-04-23;Samedi;NR;NR;Excursionniste;Journee;Résident ;All-FIMU;5208
2016-04-23;Samedi;NR;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-23;Samedi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Résident ;All-FIMU;1508
2016-04-23;Samedi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;2765
2016-04-23;Samedi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Résident ;All-FIMU;3942
2016-04-23;Samedi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-23;Samedi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;469
2016-04-23;Samedi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;9132
2016-04-23;Samedi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;5919
2016-04-23;Samedi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;6392
2016-04-23;Samedi;populaire;Populaire;Visiteur;Journee;Résident ;All-FIMU;2397
2016-04-23;Samedi;populaire;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;6027
2016-04-23;Samedi;populaire;Populaire;Excursionniste;Journee;Résident ;All-FIMU;2348
2016-04-23;Samedi;populaire;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;7348
2016-04-23;Samedi;residence secondaire;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;5723
2016-04-23;Samedi;residence secondaire;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-23;Samedi;rural dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;4755
2016-04-23;Samedi;rural dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;9203
2016-04-23;Samedi;rural dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-23;Samedi;rural dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;5362
2016-04-23;Samedi;rural ouvrier;Populaire;Visiteur;Journee;Résident ;All-FIMU;2359
2016-04-23;Samedi;rural ouvrier;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;6258
2016-04-23;Samedi;rural ouvrier;Populaire;Excursionniste;Journee;Résident ;All-FIMU;2118
2016-04-23;Samedi;rural ouvrier;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;3220
2016-04-23;Samedi;rural traditionnel;Populaire;Visiteur;Journee;Résident ;All-FIMU;8120
2016-04-23;Samedi;rural traditionnel;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;7177
2016-04-23;Samedi;rural traditionnel;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;7744
2016-04-23;Samedi;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;8208
2016-04-23;Samedi;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;1939
2016-04-23;Samedi;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;4380
2016-04-23;Samedi;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;2489
2016-04-23;Samedi;urbain defavorise;Populaire;Visiteur;Journee;Résident ;All-FIMU;598
2016-04-23;Samedi;urbain defavorise;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;7257
2016-04-23;Samedi;urbain defavorise;Populaire;Excursionniste;Journee;Résident ;All-FIMU;8427
2016-04-23;Samedi;urbain dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;8774
2016-04-23;Samedi;urbain dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;4312
2016-04-23;Samedi;urbain dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;1318
2016-04-23;Samedi;urbain dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;2133
2016-04-23;Samedi;urbain familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;516
2016-04-23;Samedi;urbain familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;2904
2016-04-24;Dimanche;CUMUL;CUMUL;Visiteur;Journee;Résident ;All-FIMU;4810
2016-04-24;Dimanche;CUMUL;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;1324
2016-04-24;Dimanche;CUMUL;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;8452
2016-04-24;Dimanche;CUMUL;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;757
2016-04-24;Dimanche;NR;NR;Visiteur;Journee;Résident ;All-FIMU;8322
2016-04-24;Dimanche;NR;NR;Visiteur;Journee;Touriste Français;All-FIMU;8181
2016-04-24;Dimanche;NR;NR;Excursionniste;Journee;Résident ;All-FIMU;3502
2016-04-24;Dimanche;NR;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-24;Dimanche;pavillonnaire familial aise;CSP+;Visiteur;Journee;Résident ;All-FIMU;1025
2016-04-24;Dimanche;pavillonnaire familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;5493
2016-04-24;Dimanche;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-24;Dimanche;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;4223
2016-04-24;Dimanche;periurbain en croissance;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;1245
2016-04-24;Dimanche;periurbain en croissance;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;7938
2016-04-24;Dimanche;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;8021
2016-04-24;Dimanche;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;6675
2016-04-24;Dimanche;populaire;Populaire;Visiteur;Journee;Résident ;All-FIMU;5958
2016-04-24;Dimanche;populaire;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;6334
2016-04-24;Dimanche;populaire;Populaire;Excursionniste;Journee;Résident ;All-FIMU;3333
2016-04-24;Dimanche;populaire;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-24;Dimanche;residence secondaire;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;6444
2016-04-24;Dimanche;residence secondaire;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;1766
2016-04-24;Dimanche;rural dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;1739
2016-04-24;Dimanche;rural dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;2242
2016-04-24;Dimanche;rural dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;6164
2016-04-24;Dimanche;rural dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;9185
2016-04-24;Dimanche;rural ouvrier;Populaire;Visiteur;Journee;Résident ;All-FIMU;2289
2016-04-24;Dimanche;rural ouvrier;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;5024
2016-04-24;Dimanche;rural ouvrier;Populaire;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-24;Dimanche;rural ouvrier;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;8497
2016-04-24;Dimanche;rural traditionnel;Populaire;Visiteur;Journee;Résident ;All-FIMU;5998
2016-04-24;Dimanche;rural traditionnel;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;707
2016-04-24;Dimanche;rural traditionnel;Populaire;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-24;Dimanche;rural traditionnel;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;165
2016-04-24;Dimanche;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;7230
2016-04-24;Dimanche;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;3158
2016-04-24;Dimanche;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;8463
2016-04-24;Dimanche;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;7293
2016-04-24;Dimanche;urbain defavorise;Populaire;Visiteur;Journee;Résident ;All-FIMU;827
2016-04-24;Dimanche;urbain defavorise;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;7235
2016-04-24;Dimanche;urbain defavorise;Populaire;Excursionniste;Journee;Résident ;All-FIMU;8230
2016-04-24;Dimanche;urbain defavorise;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-24;Dimanche;urbain dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;9957
2016-04-24;Dimanche;urbain dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;4916
2016-04-24;Dimanche;urbain dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;8020
2016-04-24;Dimanche;urbain dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;568
2016-04-24;Dimanche;urbain familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;2335
2016-04-24;Dimanche;urbain familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;4813
2016-04-25;Lundi;CUMUL;CUMUL;Visiteur;Journee;Résident ;All-FIMU;2748
2016-04-25;Lundi;CUMUL;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3313
2016-04-25;Lundi;CUMUL;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;4099
2016-04-25;Lundi;CUMUL;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;7167
2016-04-25;Lundi;NR;NR;Visiteur;Journee;Résident ;All-FIMU;9618
2016-04-25;Lundi;NR;NR;Visiteur;Journee;Touriste Français;All-FIMU;4761
2016-04-25;Lundi;NR;NR;Excursionniste;Journee;Résident ;All-FIMU;44
2016-04-25;Lundi;NR;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-25;Lundi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Résident ;All-FIMU;486
2016-04-25;Lundi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;2190
2016-04-25;Lundi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Résident ;All-FIMU;7758
2016-04-25;Lundi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;4285
2016-04-25;Lundi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;161
2016-04-25;Lundi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;6480
2016-04-25;Lundi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;7361
2016-04-25;Lundi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;1730
2016-04-25;Lundi;populaire;Populaire;Visiteur;Journee;Résident ;All-FIMU;564
2016-04-25;Lundi;populaire;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;9947
2016-04-25;Lundi;populaire;Populaire;Excursionniste;Journee;Résident ;All-FIMU;7259
2016-04-25;Lundi;populaire;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-25;Lundi;residence secondaire;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;1891
2016-04-25;Lundi;residence secondaire;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-25;Lundi;rural dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;1687
2016-04-25;Lundi;rural dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;1540
2016-04-25;Lundi;rural dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;5810
2016-04-25;Lundi;rural dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;2160
2016-04-25;Lundi;rural ouvrier;Populaire;Visiteur;Journee;Résident ;All-FIMU;4662
2016-04-25;Lundi;rural ouvrier;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;2136
2016-04-25;Lundi;rural ouvrier;Populaire;Excursionniste;Journee;Résident ;All-FIMU;247
2016-04-25;Lundi;rural ouvrier;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;9871
2016-04-25;Lundi;rural traditionnel;Populaire;Visiteur;Journee;Résident ;All-FIMU;5629
2016-04-25;Lundi;rural traditionnel;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;3435
2016-04-25;Lundi;rural traditionnel;Populaire;Excursionniste;Journee;Résident ;All-FIMU;4804
2016-04-25;Lundi;rural traditionnel;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;4674
2016-04-25;Lundi;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;7638
2016-04-25;Lundi;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;1348
2016-04-25;Lundi;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;9917
2016-04-25;Lundi;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;1631
2016-04-25;Lundi;urbain defavorise;Populaire;Visiteur;Journee;Résident ;All-FIMU;6825
2016-04-25;Lundi;urbain defavorise;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;1110
2016-04-25;Lundi;urbain defavorise;Populaire;Excursionniste;Journee;Résident ;All-FIMU;9968
2016-04-25;Lundi;urbain defavorise;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;5412
2016-04-25;Lundi;urbain dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;3678
2016-04-25;Lundi;urbain dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;7012
2016-04-25;Lundi;urbain dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;9743
2016-04-25;Lundi;urbain dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;2566
2016-04-25;Lundi;urbain familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;4605
2016-04-26;Mardi;CUMUL;CUMUL;Visiteur;Journee;Résident ;All-FIMU;8888
2016-04-26;Mardi;CUMUL;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;2203
2016-04-26;Mardi;CUMUL;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;8733
2016-04-26;Mardi;CUMUL;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;6070
2016-04-26;Mardi;NR;NR;Visiteur;Journee;Résident ;All-FIMU;9664
2016-04-26;Mardi;NR;NR;Visiteur;Journee;Touriste Français;All-FIMU;6279
2016-04-26;Mardi;NR;NR;Excursionniste;Journee;Résident ;All-FIMU;409
2016-04-26;Mardi;NR;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-26;Mardi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Résident ;All-FIMU;4310
2016-04-26;Mardi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;4170
2016-04-26;Mardi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Résident ;All-FIMU;6500
2016-04-26;Mardi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;393
2016-04-26;Mardi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;6838
2016-04-26;Mardi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;2200
2016-04-26;Mardi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;5033
2016-04-26;Mardi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;4174
2016-04-26;Mardi;populaire;Populaire;Visiteur;Journee;Résident ;All-FIMU;2693
2016-04-26;Mardi;populaire;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;7789
2016-04-26;Mardi;populaire;Populaire;Excursionniste;Journee;Résident ;All-FIMU;5561
2016-04-26;Mardi;populaire;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-26;Mardi;residence secondaire;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;6379
2016-04-26;Mardi;residence secondaire;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-26;Mardi;rural dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;4576
2016-04-26;Mardi;rural dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;8301
2016-04-26;Mardi;rural dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;2358
2016-04-26;Mardi;rural dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;4063
2016-04-26;Mardi;rural ouvrier;Populaire;Visiteur;Journee;Résident ;All-FIMU;8828
2016-04-26;Mardi;rural ouvrier;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;2877
2016-04-26;Mardi;rural ouvrier;Populaire;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-26;Mardi;rural ouvrier;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;3596
2016-04-26;Mardi;rural traditionnel;Populaire;Visiteur;Journee;Résident ;All-FIMU;3601
2016-04-26;Mardi;rural traditionnel;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;298
2016-04-26;Mardi;rural traditionnel;Populaire;Excursionniste;Journee;Résident ;All-FIMU;1087
2016-04-26;Mardi;rural traditionnel;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;9492
2016-04-26;Mardi;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;2864
2016-04-26;Mardi;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;1199
2016-04-26;Mardi;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;1008
2016-04-26;Mardi;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;6708
2016-04-26;Mardi;urbain defavorise;Populaire;Visiteur;Journee;Résident ;All-FIMU;4593
2016-04-26;Mardi;urbain defavorise;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;5150
2016-04-26;Mardi;urbain defavorise;Populaire;Excursionniste;Journee;Résident ;All-FIMU;2473
2016-04-26;Mardi;urbain defavorise;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;3635
2016-04-26;Mardi;urbain dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;889
2016-04-26;Mardi;urbain dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;3673
2016-04-26;Mardi;urbain dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;8689
2016-04-26;Mardi;urbain dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;6241
2016-04-26;Mardi;urbain familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;4451
2016-04-26;Mardi;urbain familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-27;Mercredi;CUMUL;CUMUL;Visiteur;Journee;Résident ;All-FIMU;7737
2016-04-27;Mercredi;CUMUL;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;7848
2016-04-27;Mercredi;CUMUL;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;9399
2016-04-27;Mercredi;CUMUL;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;5633
2016-04-27;Mercredi;NR;NR;Visiteur;Journee;Résident ;All-FIMU;2464
2016-04-27;Mercredi;NR;NR;Visiteur;Journee;Touriste Français;All-FIMU;3007
2016-04-27;Mercredi;NR;NR;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-27;Mercredi;NR;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-27;Mercredi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Résident ;All-FIMU;2856
2016-04-27;Mercredi;pavillonnaire familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;2010
2016-04-27;Mercredi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Résident ;All-FIMU;1008
2016-04-27;Mercredi;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;5134
2016-04-27;Mercredi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;6775
2016-04-27;Mercredi;periurbain en croissance;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;2048
2016-04-27;Mercredi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;9656
2016-04-27;Mercredi;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;3050
2016-04-27;Mercredi;populaire;Populaire;Visiteur;Journee;Résident ;All-FIMU;3763
2016-04-27;Mercredi;populaire;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;9703
2016-04-27;Mercredi;populaire;Populaire;Excursionniste;Journee;Résident ;All-FIMU;779
2016-04-27;Mercredi;populaire;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;4345
2016-04-27;Mercredi;residence secondaire;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;#
2016-04-27;Mercredi;rural dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;6277
2016-04-27;Mercredi;rural dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;9027
2016-04-27;Mercredi;rural dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;5173
2016-04-27;Mercredi;rural dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;7122
2016-04-27;Mercredi;rural ouvrier;Populaire;Visiteur;Journee;Résident ;All-FIMU;2084
2016-04-27;Mercredi;rural ouvrier;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;8597
2016-04-27;Mercredi;rural ouvrier;Populaire;Excursionniste;Journee;Résident ;All-FIMU;9391
2016-04-27;Mercredi;rural ouvrier;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;3654
2016-04-27;Mercredi;rural traditionnel;Populaire;Visiteur;Journee;Résident ;All-FIMU;9578
